document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,23279.719,1.2060446,45.381
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,11208.6045,1.0571463,31.555367
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,13273.807,1.0584757,30.042593
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,12790.233,1.0600907,34.175003
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,28169.367,1.1260965,34.506187
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,11773.088,1.0450603,35.398087
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,51890.54,1.1648465,32.215126
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,161483.48,1.127659,21.16828
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,8298.331,1.0692464,38.383587
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,8914.552,1.0429976,29.89249
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,15843.4,1.0775148,36.64806
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,11357.3545,1.0592772,38.461647
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,7856.294,1.0651084,31.831333
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,9047.117,1.0671785,24.86714
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,43696.098,1.1512662,32.037968
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,27133.389,1.063323,28.318571
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,14011.785,1.0619154,33.901924
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,31790.43,1.1617343,38.31748
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,45020.79,1.1224854,27.501038
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,12492.526,1.1379039,20.340689
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,56739.215,1.1274791,27.557653
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,10156.956,1.0433224,33.307926
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,586968.7,1.1288303,27.977219
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,23188.678,1.1515318,32.846172
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,41945.426,1.1146026,33.89593
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,38832.55,1.1493266,36.701607
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,8713.842,1.1535349,39.622543
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,35534.418,1.2594383,58.80393
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,9503.133,1.1573038,28.399256
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,39448.77,1.1309384,31.812529
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,29767.914,1.0653231,41.716328
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,6521.575,1.0535004,36.64499
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,46452.957,1.146391,24.03166
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,10198.594,1.0504553,25.276045
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,11713.179,1.0522496,28.301363
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,45331.184,1.1273096,31.458105
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,14087.922,1.0529598,21.553728
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,9549.403,1.050043,30.866278
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,29513.73,1.1198198,31.28096
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,75453.59,1.1418904,42.24616
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,35028.664,1.1603118,34.70809
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,9905.145,1.0452188,32.158447
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,7567.0415,1.0442055,34.9523
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,84129.65,1.1346582,45.343258
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,13730.818,1.1870487,41.081738
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,11653.077,1.049498,41.655636
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,20180.473,1.1707642,42.26122
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,17129.084,1.0625709,35.330566
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,20820.951,1.0624549,31.673203
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,34768.688,1.1675302,39.520576
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,27870.56,1.1887779,38.50974
6209a89f9a794740a12850c5H4RHG7dZTL2wSdv3XyyzNA,14958.298,1.1630253,34.649437
620a46219a794781dc291a08AZGwVNwbQ8yIgsPKpyEhiA,20357.404,1.1701608,38.793034
6260feeb9a79476a79ce041es4TzJh4_TzW8ppT-OTxjkg,13621.777,1.0530285,29.73118
620ce7ab9a794702595dc862-5Cx53EvQDWntflGw9_jEQ,20335.742,1.1512605,39.161495
6265bbef9a794740ac14627dFCuGAeo3RMqC5ZXD_WsDtg,6989.1567,1.0474023,41.67343
627ff0d39a7947729e9dfa90RPAwzb0eSzC-Dcq2ZocUfA,10401.242,1.0560603,30.10567
625db0299a7947d767282409xdaiS-EsSdOcJ5H8rgpO5g,14407.158,1.0550714,31.96258
6282433e9a79470b9c70a35cGBn3ze4UTsyvC35EfQs6VA,20867.408,1.0735979,34.88894
61fc8bea9a79472d0879337bsOYQIXzMQtGy1XCKl6xsHw,31353.967,1.1555423,33.86165
62033fe69a7947be30a670aaeFUrrXexSh-xrR_1oGc6-w,28758.23,1.1215304,26.13681
6203b0069a7947f3eede1eb2qy1XDNoUQ3GBeAionL5UTQ,36911.836,1.1240476,32.27432
624c3fd09a79476502f307e2exWaNqt-QmKcchXKQ-8KNw,30867.104,1.1642098,33.261734
623b5bcc9a79477293c33b56Rbe7Ti8uQlyni2v1TTPTaA,280281.75,1.1318594,30.608917
620104a99a7947846c646260vGhSVhpFT1iy6VZ0oq-oew,9879.915,1.1149602,26.910303
624ffda39a794729f99bad79ZIebQLUATRWSnc37OMbrRQ,28591.74,1.1138233,39.41071
6277b3ff9a7947214f2f4893-tYxWzW4Qbmn-jwILfFFjA,10337.322,1.0536431,32.335377
624fd3a89a794716d372544f5CUAzs10TwWOwdg3dnyrFA,31006.656,1.1073462,35.08014
6262672c9a7947edb8be11e9AoBTZKPtRCy9Mu7fNFw_gA,7901.9453,1.0655259,50.238228
6268bb739a79474eb1121e2eeAd9_fJrTnKh_MdcLYPqAw,13097.344,1.0453058,29.04895
6265f69e9a79474dc2dcb6eajq2srWZJTEeJvA4sAJhTdA,11041.042,1.0486683,28.972208
6266f5389a7947b2e3ce1ba6qNyzvIL0Rl2zal9wzUl16A,9900.45,1.0525706,31.824684
624ff0e19a79472411f31b43OlIGX3f9RN-Uop357_p98g,14053.036,1.1923139,32.958084
623faeaa9a7947653470b1a0fI8XS2MXRyaNdNuJJW9VjA,157380.11,1.1274008,32.14441
624f1fcb9a7947e9d888bc2eGoMLdRUjQ2OQKJOJeEP9RQ,27739.986,1.1522228,39.952488
62850ce99a794782249dc1c7mCXdNIBcStCRGWinWoOqvA,10682.374,1.0563718,30.590809
625568df9a794741e114a762p0gt5C5WSQqX18Fb8yuQEA,24603.715,1.0837601,32.898514
6249c58b9a794790fbfb3a72BiOLFRtLQW6sTZ_aYcGd1A,27554.041,1.1755192,37.36025
627e43e79a7947863d9a3d28f3ucRD7ITtefUxsYp7qHKQ,11997.263,1.0582927,34.96286
61fd57569a79478a98c7a954jxbeRzGsQm6f9UdSVdCCmg,20942.004,1.1475567,39.625404
628252089a79471407fd4d16rmFwVXrNQV6UEhFesereGQ,6298.888,1.0750653,48.138546
62483ba99a79473538e719003jWeun5QR7K9Hf5y6sYL_A,36604.04,1.1902363,36.673855
626633779a79475c0264eb97GicKTSv4TfGgkznN_G7t5w,6689.5557,1.0670323,43.854794
62920ccb9a7947093f7ce616XlBcJK-MRCiOI3hfxZdXdA,8244.055,1.0504503,36.637707
6282a5429a7947336f8d64b8nnRk0rTkR16wROQJXr400A,11647.334,1.0670025,35.470253
61fa3cd39a7947d756cdca0cemHDBURNSW6B7dsxlC7yLA,37127.89,1.163953,36.56912
625ecc7e9a79473b4f8aae9c4FuODp-kS0aDzavwnWjyNA,11266.181,1.0529759,33.0654
6255c0729a79476baad93bc2UFPFZw03Ry-nMO_5XCjkcA,13590.606,1.0715948,36.355804
62919afd9a794774d24be856OSGBeNzCSPW_GmbG6-irTw,4818.6426,1.0573121,30.252886
623b303f9a794761344bc2a4RHWeYizkRa-wvE9e-wm44w,42155.023,1.1313057,33.645103
62861c019a7947d5857eb3e20nWLHpTJSLCbo8ROSKLc9g,7142.5537,1.0646576,38.15486
627ab92e9a794751851fdf3eBfWBRacaQCOaQ1S_LWwXMQ,9239.774,1.064058,33.49978
6270b77a9a79479ad6dedbd1tu-AquxyRMO2GORTYaN6_A,7459.5835,1.0633572,43.4356
628e66749a7947654775ae3exr83ycafQzWgDeMX52VPfw,13167.337,1.0538564,29.601185
6246b4b79a794743ce9efdc9Ix6iqt0VQa-LYukRCxK6oQ,32084.225,1.1674229,36.506393
628fa9b49a7947dbd44f440bHqCvEqPQSC-5NBbX7p_etA,9921.001,1.0572958,30.842014
61f95e8d9a7947970d73a5c4uZqPcS5NT5-YlnOXRJL-Ew,22029.959,1.1659435,34.744743
61fc32499a7947191f1d6af0ZAgOWRlASWKbo7ONGv-QAw,21714.857,1.1489328,38.53867
62933cc39a79474b94a34ea9rbu9MdiVRWi9g5n92kNGpA,6454.981,1.0461118,36.514473
628b49009a7947bf170e8190pWFEWX6zR_yC1OkesuMlnA,3546.5615,1.0659777,42.30031
61fc6f9f9a7947256d8a90e7gZXyjv6UQiG2NsAYfODHiw,20184.947,1.1657999,44.122936
6257a04e9a79477e079ed071QIES5rIgS3G0hCPDoqVzDw,11645.858,1.0635625,33.390995
623e38cc9a794712a0892f2dAIcdWGmRRNqJ_RYeYfeTig,86570.52,1.138853,47.634735
620280679a79478b1ac68257hLI2jEQ2TdqUSep4_YVBYw,34143.945,1.1236122,36.23858
625401d99a7947bbde7cebb5Zt-SUqtxTZWwjJDS1cRSUw,20457.992,1.0682431,24.556551
6201cedf9a794740603d6b73ZzYEG3hWTMydOR6R-klEwg,19436.273,1.1636235,38.63402
620fd7409a7947aaa25d8377KwRX8wrgS9K8Amielf7Guw,39484.62,1.1545763,35.83245
626e38b99a7947124a7e8c3aqIN_x8M9Rt-8Y60sffT0Bg,4429.7363,1.0670913,27.79851
623324609a794755e58a6f54UXmfblMDT5y14P2ww7YhEQ,139203.28,1.1324291,22.58741
620742d19a7947acb4dbf54afk1WrzpMQa-GHKnWBDjECQ,10421.342,1.0786345,31.784464
628c559a9a794719bb2ce62cofOKsXyGSx-bRQBt2dIETA,30841.031,1.0536493,25.645124
627f594f9a794750d077ac9cWlh01JNEQ5eLIeO6G7EPNg,7615.677,1.0614392,39.88238
626acaf89a79479c932ab6cdR2IxLWUPRmO2kQBr8-HJ8w,5595.972,1.0537118,34.92262
6267e33e9a79470add2c62e3WnuGspxnRk2IWL_TYyu3ow,14672.361,1.0415652,28.01192
625710e59a79475dda974be3LIC8WVXkTiWtf9Wvb4M1xA,6926.0566,1.0653214,38.154438
626978ac9a7947239945d3d99Ll9q3RySXCmt50-9PJ2jw,10309.943,1.0468414,33.0349
620a155f9a794766b4ddc918fUszibetR6qECabLytyMqw,48901.46,1.1409248,32.67739
623983b99a7947b9f128c85dpjpi_7HfRw2aJn1tbHRTPQ,54448.844,1.1731046,55.684605
62601cf19a79472a72866c68bIF7iXeTT-qgpsUkq5Qjww,8608.487,1.0519196,31.38454
6282535c9a794713ac5b996eWjW7BbFvQVuM0gEJOJ44UQ,15294.83,1.0727152,28.522459
625a9b3d9a794785eff10716lUOBSjkXTYaOOzDnCcDtDA,12517.774,1.0446516,32.862724
62541f409a7947ca585aa5abo0K-2UbuRHSCURTm1o10hw,20275.111,1.0621259,24.41445
6256df119a79474a19bea8b791_wyExyQxmR3FV7HnbwrA,18319.514,1.0663953,17.466768
62603f3b9a794737581f6c6e1PrjGkXHQKKtSRe_fYbUcg,7032.359,1.0549979,38.938778
620270cb9a794783b02d6000FcJyHDRbSHylVDOv55Aukg,80341.79,1.1290958,32.669144
626ba98a9a7947dded22a0e2r6CqHMbZTga2hl5utKMX9g,8077.7354,1.0444113,22.667961
626453bb9a794779d32c4b7cNJ7o7x_7RwuVz4qEw7jRLA,6829.389,1.0556079,46.73089
61f9e38b9a7947bda828a9daBGqE5tfuTxeanLvshi8hGw,18306.613,1.1549507,38.99229
620a54af9a7947054cbbea6aVi5JyL2nTyK2rpQAfICjKg,14957.181,1.1656331,39.667732
62382ce99a794742a6dfe668HyG3_PV-REaD7Mbuc_qZig,51250.82,1.1455966,30.776308
627415cf9a79472d4bdca3fa8VZNOqP7Q6GjxQwpF4EmJQ,6507.7637,1.0649235,40.87786
624770469a794709ab41a2edZADsrTW9QjqQhed1-QSdhg,27095.332,1.1607285,38.970413
620608d29a79473c8cc3dcb4TOkHE8peS4mnQfhVY6uETQ,38445.188,1.1457918,33.75663
624d74419a794745f5095c9785o_o-7ER_2pYp2aQOhY1Q,18534.182,1.0749903,17.40688
6273ea389a79471e1192738eGyl27lB0QFW6cUuwiuQ8xA,15579.708,1.0563227,26.243126
6253e9289a7947ad471500a7ZwR05eF3TgOZR8CwC8QF6A,8898.714,1.0708885,33.14926
627a67f59a79473c76334a58d-ty3mZYTcWtpTnNEiS-_Q,12549.8,1.0634553,31.538038
62543d319a7947e0d0bbf9feRvqVpFyESUqVOjAHYpx4qA,14380.994,1.0712558,31.54682
61fd48c49a7947853ac89992Eg6t0d9IT-Oh0gOQJsnwpA,18411.822,1.14904,37.948864
624d661b9a79473f7416fe26IOrn2VSSTFq1lnfWNWSjmg,59747.0,1.1483076,35.442043
62921afd9a79470c52363ddbycovRONJRxOwxXQp9kZ_JQ,9094.271,1.0504464,31.572662
625e16fd9a7947eb04eb3afaahBNANYJQ4q71l_5bfc4hg,8856.623,1.0486314,44.462585
6281df209a7947dc977962a8w2oYQcAYSpKKPZIVuxNv3A,19322.398,1.0726445,28.079937
6250aebd9a79477179d3fc0abTicp8FURqqf_sUIPQNc8Q,18419.6,1.0920105,30.101948
620593879a79471f11cbc442zzIt_lvVSxGHH4PFivaj0A,18364.842,1.170092,45.43328
6267b2ea9a7947f1272fe182ZHr1365cRwesE1BO1cTSTw,10874.282,1.0466199,29.881712
623d5ff99a79473d710327cf87E2PoRDQpSINmkoNNyC_g,112835.05,1.1351055,33.836987
628fc55f9a7947e3ecee16855K5GmbcURfmjEHNyG9jUPA,13416.373,1.0588378,28.269798
6209b5ba9a7947446de26576wIqzK06xS62_85SZ-_jM5A,13066.543,1.195766,39.995384
6257e9a59a79479c163ae439VXmiNqENQAejKPy2TBgkYQ,31521.396,1.060736,29.202166
623edde79a7947375a65bc5cljg2IrgTQ0qGVJxkVx9gfg,16619.576,1.0961691,25.598368
6246f61a9a794763e7611666nUKwsp6MSq2ZVmWEqHeUbw,53918.035,1.1490437,28.998163
61fab3b59a794716ef6cd9b87N5JbHqCT1iUVVT_CTv-eg,17604.838,1.1562395,38.439533
62726fb79a7947174f2c6396ndruDIIMREGrctxMQLO6qQ,15587.235,1.0576481,26.01666
625517799a79471e76fdf7a69Bb90QB4Qh2v7mN1rWUfzA,11470.646,1.0644637,30.922483
628b94369a7947e52a75ddd2imqTssc8RWmuYlbRgEv_6A,18750.547,1.0559849,25.725239
62464bff9a79471d3a9091bdyBaFkEL3R7ibKMevxBfWBQ,34675.67,1.1491213,36.17122
609d11a69a79477cef513697JmK_JOsmSnWmjiQfqquJfw,21746.695,1.0688448,24.697147
624bd4a09a794734a02abe635sHoC5DQRYyOR92V_ypG3A,38185.547,1.1471758,24.313889
6246ee699a79475f62e29586lkzBzA2GQOekTIrCqMlmQg,38330.195,1.1572264,34.838924
627fa0009a7947615d3ee079HdMF3sQ7Q0K8NG0AEPf7Vg,14561.472,1.057057,31.184748
626384d69a794748ab83346am_e3JQPGSpug0qF0PvlAcw,10796.439,1.0552346,26.917448
625eb2999a79472f980ec8f5K5sOFaWERdOYSmNLE6kVmQ,15886.298,1.0599543,28.504274
6260cb039a7947590cfed3f3HVQLtTOFQg23_Zc9Taqn7Q,12688.912,1.0550615,38.225662
624449f39a7947601793fbd43LqF1CAmQ8CThiHpaJRLyg,97336.93,1.1280329,33.304707
624467e59a794770ffc56779zqrrfYgQROiOD6fgVNvw3Q,82561.234,1.1364987,34.85805
62378e5f9a794717cec1099bqkPlGr-qQwO9LmBRDDi76g,15543.943,1.1827079,40.084534
624680c19a79472b07d3beb80kvS1w9qTiu8KYcGTOMywg,50601.184,1.166076,34.5842
61fca99f9a7947323cee8abfQHSiixUSQfGHUgGo1MbBVg,37824.43,1.1499931,42.429096
61fac9dc9a79471d479d3b9apI0_tiTMRU6MTLC67M3ykg,12963.3955,1.160412,25.116486
6249c3739a7947925657d45e1YzCEfy8QvSfSLP47PspXw,51742.676,1.150604,30.716925
6274d1499a79475ff0070a58Rz8BSmP8R5aP2QRjQeYfYA,13254.316,1.0536212,27.31075
62561e609a79478153ae30185kj_AZ4iSDq33bBeyryGLA,11179.261,1.0634897,43.044113
61fd5cfb9a79478ce58a5deaWHgu0dA5QEyERZhnz4RZqg,22379.2,1.1602101,29.183653
61fbb2609a794765c9ba9191MfrZsSBERcGgYNo7D6cItg,28874.998,1.1504943,32.59906
624ea4cf9a7947a631c328baWxNQ1fCHSy-Pb8dCaoDCQA,59443.45,1.1544179,27.84308
6244c29b9a79478f9a339bca0RwqdNMOSfeAefxAr_8Wwg,37799.965,1.1397606,39.330376
620263a09a79477abdf73d2blf_K9sZzQdaZf3FZxFfnYQ,26942.57,1.1615448,39.627033
62895c859a794748fb81edeb7-q4a66gTiOEBZCgGyYLww,8744.724,1.0538338,38.068237
628cd9839a7947555da62ab6nGLl-ynSR0mwfS3PdLEbCQ,7838.203,1.0630689,36.070385
62023cfc9a794767710363001czAU5n5QTqze8sze8-39w,44411.32,1.1244948,32.412518
61f873769a79472c64f0b26dFcOHgy-0Q0qSH96tt5qqpw,17443.996,1.16282,32.501602
620a042a9a79475e8d61ea64n1uePA2FRf-6KZ1gov5k1g,14299.854,1.1675991,35.389736
6203a87e9a7947ef0226f481SwaKVAdYSHiXAT2_djlKFg,21158.668,1.1452069,29.413023
