document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,22450.709,1.2081065,49.316734
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,10423.151,1.0568899,31.796076
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,13655.501,1.061773,31.853985
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,14014.899,1.0606866,33.242798
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,27336.273,1.1368343,32.804962
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,11031.061,1.044053,35.198242
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,39798.93,1.1661342,33.033985
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,135307.34,1.1315004,22.56702
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,7835.225,1.0676297,40.74509
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,9365.447,1.0438393,31.557034
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,16759.422,1.0790931,36.07644
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,11785.95,1.0570158,37.32242
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,9783.916,1.0634283,30.553137
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,8118.979,1.0670263,26.846418
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,50674.652,1.1424438,31.701012
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,22740.969,1.0631875,29.938131
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,8406.93,1.0638579,30.9219
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,35215.316,1.164707,39.049896
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,43080.85,1.1159374,26.692047
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,14333.616,1.1373502,20.754805
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,47209.89,1.1252185,29.721256
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,10019.406,1.0461788,29.76258
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,662900.6,1.1288676,26.792122
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,24137.176,1.1440582,34.44658
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,52801.07,1.1297516,33.968872
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,47338.188,1.1485981,39.980965
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,10220.3545,1.154889,38.282295
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,33023.113,1.2481644,60.110256
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,10789.694,1.1525811,28.398085
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,31704.178,1.1316465,30.161184
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,10592.561,1.0670851,38.74827
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,6077.182,1.0545391,36.453815
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,46148.633,1.1406555,24.265137
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,12152.177,1.0505623,27.32503
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,11280.45,1.0499811,26.915045
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,50130.316,1.1204944,31.092924
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,12746.796,1.0521563,20.995102
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,9210.648,1.0506017,32.75903
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,30661.115,1.116436,27.886484
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,95968.43,1.145457,42.78699
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,32237.22,1.1581769,33.116505
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,10157.494,1.0448626,31.440342
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,8635.43,1.0454481,32.395245
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,89449.49,1.13906,43.612843
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,13093.623,1.195305,41.182953
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,13733.414,1.04687,41.70371
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,21644.328,1.1722683,42.227608
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,20072.363,1.0651953,36.485413
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,20205.145,1.0649107,30.204166
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,28110.354,1.1495028,37.62906
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,26122.477,1.194034,39.655178
6209a89f9a794740a12850c5H4RHG7dZTL2wSdv3XyyzNA,14914.441,1.1496732,36.043114
620a46219a794781dc291a08AZGwVNwbQ8yIgsPKpyEhiA,21293.252,1.1674043,38.51274
6260feeb9a79476a79ce041es4TzJh4_TzW8ppT-OTxjkg,15103.272,1.0528547,28.84077
620ce7ab9a794702595dc862-5Cx53EvQDWntflGw9_jEQ,19051.6,1.1536934,39.48674
6265bbef9a794740ac14627dFCuGAeo3RMqC5ZXD_WsDtg,7457.478,1.0486742,41.4623
627ff0d39a7947729e9dfa90RPAwzb0eSzC-Dcq2ZocUfA,9247.474,1.0555781,31.65841
625db0299a7947d767282409xdaiS-EsSdOcJ5H8rgpO5g,15514.708,1.052823,32.151424
6282433e9a79470b9c70a35cGBn3ze4UTsyvC35EfQs6VA,19823.793,1.0748287,34.225376
61fc8bea9a79472d0879337bsOYQIXzMQtGy1XCKl6xsHw,24425.344,1.1641313,32.981728
62033fe69a7947be30a670aaeFUrrXexSh-xrR_1oGc6-w,28407.127,1.1182138,27.948738
6203b0069a7947f3eede1eb2qy1XDNoUQ3GBeAionL5UTQ,29113.467,1.125621,32.94949
624c3fd09a79476502f307e2exWaNqt-QmKcchXKQ-8KNw,32218.336,1.1609398,34.18516
623b5bcc9a79477293c33b56Rbe7Ti8uQlyni2v1TTPTaA,302961.03,1.1339766,29.096235
620104a99a7947846c646260vGhSVhpFT1iy6VZ0oq-oew,13180.762,1.1181277,28.660276
624ffda39a794729f99bad79ZIebQLUATRWSnc37OMbrRQ,25860.582,1.1080368,37.489143
6277b3ff9a7947214f2f4893-tYxWzW4Qbmn-jwILfFFjA,9234.986,1.056671,28.420792
624fd3a89a794716d372544f5CUAzs10TwWOwdg3dnyrFA,32154.451,1.1118945,34.221607
6262672c9a7947edb8be11e9AoBTZKPtRCy9Mu7fNFw_gA,6491.861,1.0680206,48.732502
6268bb739a79474eb1121e2eeAd9_fJrTnKh_MdcLYPqAw,13344.966,1.0460511,28.124577
6265f69e9a79474dc2dcb6eajq2srWZJTEeJvA4sAJhTdA,10366.237,1.0478979,27.933922
6266f5389a7947b2e3ce1ba6qNyzvIL0Rl2zal9wzUl16A,9879.884,1.0538529,31.660093
624ff0e19a79472411f31b43OlIGX3f9RN-Uop357_p98g,12652.301,1.2281461,40.73783
623faeaa9a7947653470b1a0fI8XS2MXRyaNdNuJJW9VjA,152662.94,1.1260796,34.267906
624f1fcb9a7947e9d888bc2eGoMLdRUjQ2OQKJOJeEP9RQ,28419.748,1.140573,39.552624
62850ce99a794782249dc1c7mCXdNIBcStCRGWinWoOqvA,11070.414,1.0553496,30.86518
625568df9a794741e114a762p0gt5C5WSQqX18Fb8yuQEA,25329.686,1.0879114,32.885418
6249c58b9a794790fbfb3a72BiOLFRtLQW6sTZ_aYcGd1A,32011.398,1.1672813,34.47072
627e43e79a7947863d9a3d28f3ucRD7ITtefUxsYp7qHKQ,13084.008,1.0586812,35.41213
61fd57569a79478a98c7a954jxbeRzGsQm6f9UdSVdCCmg,20097.992,1.1340106,36.666374
628252089a79471407fd4d16rmFwVXrNQV6UEhFesereGQ,5638.8457,1.0762774,48.92826
62483ba99a79473538e719003jWeun5QR7K9Hf5y6sYL_A,29379.482,1.1877204,37.519367
626633779a79475c0264eb97GicKTSv4TfGgkznN_G7t5w,7207.3887,1.0630964,41.74311
62920ccb9a7947093f7ce616XlBcJK-MRCiOI3hfxZdXdA,9369.495,1.050541,36.292236
