document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,20763.941,1.1982098,51.722397
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,9713.542,1.0530925,30.68977
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,12670.767,1.060109,28.72361
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,10959.251,1.0597675,34.93952
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,28791.148,1.1300595,33.49578
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,10482.936,1.04419,33.80454
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,36179.395,1.1560513,31.454655
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,98140.39,1.1308389,20.719091
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,7218.861,1.0686164,40.820312
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,7556.5356,1.0413712,31.901833
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,15871.863,1.0763023,35.44755
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,11089.6045,1.05513,38.29096
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,7081.8535,1.062319,31.865702
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,7186.518,1.0650512,27.594034
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,44235.21,1.1498597,30.4682
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,26004.043,1.0636997,29.79213
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,6909.8965,1.0602665,34.629612
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,29704.047,1.1540991,35.59369
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,42237.77,1.1126448,25.86901
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,12089.042,1.1337459,22.126705
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,48491.27,1.1202706,28.319628
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,8134.7812,1.0393724,28.552197
