document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,21374.082,1.1994785,47.841827
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,10877.95,1.0586693,31.87952
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,13084.311,1.057227,28.608793
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,14204.019,1.0576397,34.527016
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,21509.957,1.1273551,32.11692
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,12272.073,1.044173,33.54135
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,39853.062,1.1619048,32.130238
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,92037.74,1.1278452,21.443268
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,8334.8125,1.067401,39.22147
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,8770.797,1.0425525,33.273415
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,15511.961,1.0700004,36.018406
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,12690.515,1.0564373,36.948944
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,8185.1167,1.0664276,31.773409
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,6901.747,1.069049,28.032455
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,59572.36,1.138977,31.201433
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,28014.668,1.0634129,27.601778
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,6526.265,1.062669,34.019352
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,24900.328,1.1654865,38.432644
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,41888.926,1.1147624,23.709215
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,9255.432,1.141909,23.078054
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,39586.324,1.1158513,30.48249
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,7975.621,1.0449035,30.0745
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,800329.6,1.1303471,27.276566
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,23762.432,1.1452868,33.9674
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,45687.34,1.1284131,35.243813
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,33936.297,1.1445044,39.172928
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,10533.934,1.1490316,37.629032
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,26246.848,1.2448692,54.653446
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,13582.188,1.1520683,30.097164
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,63987.12,1.1291925,32.104683
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,10380.419,1.0669293,38.130405
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,5029.2476,1.0549971,35.41702
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,42714.586,1.145437,24.97596
