document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,9950.909,1.1859398,43.483425
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,12052.851,1.0586379,32.544144
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,9481.917,1.0595126,27.823149
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,10230.704,1.0606207,36.63064
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,20227.697,1.1283642,33.459503
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,12763.64,1.0437088,36.51284
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,26412.984,1.164398,29.862617
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,39273.508,1.1329657,29.708475
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,8492.645,1.068281,39.91063
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,6847.476,1.043861,32.545048
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,19008.283,1.0674813,38.403797
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,10060.887,1.0565636,40.3326
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,7128.178,1.06448,31.932673
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,7195.8267,1.0678834,28.8616
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,30707.008,1.1505064,29.943703
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,13164.136,1.0648082,23.85792
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,5766.865,1.0647836,36.561646
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,32365.406,1.1575506,37.694332
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,31771.355,1.1262432,21.539017
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,10262.197,1.1259743,20.176416
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,23994.723,1.1338086,30.711033
