document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,12979.607,1.2173122,47.85944
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,16094.666,1.0615319,29.945879
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,15869.438,1.0610974,29.022364
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,12979.607,1.0562229,35.81778
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,92693.09,1.1330382,34.480095
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,107868.64,1.0437176,33.184513
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,43522.562,1.1612612,33.646896
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,28941.738,1.132302,24.870493
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,12979.607,1.0692327,40.419224
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,12979.607,1.0420004,31.99524
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,27424.982,1.0757881,36.618935
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,60018.5,1.0601559,38.676132
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,27305.281,1.0658405,31.391562
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,29198.428,1.0740943,29.340467
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,41032.668,1.1503413,32.351143
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,63216.543,1.0677379,26.177368
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,30088.031,1.0631927,31.349737
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,12979.607,1.1699061,40.595955
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,12979.607,1.1287085,26.18994
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,16735.95,1.1503693,22.507256
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,14679.712,1.1323019,30.51846
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,28585.434,1.0467464,32.068264
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,28941.738,1.1164868,30.110598
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,30812.84,1.1470394,34.923634
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,46398.504,1.1331356,33.207146
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,23632.787,1.1554145,37.839413
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,12979.607,1.1575313,36.561623
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,7975.2266,1.2582276,59.09273
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,12979.607,1.1566081,30.096897
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,34115.918,1.1433245,29.511108
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,143277.52,1.0687163,41.540024
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,12979.607,1.0553541,33.145298
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,33176.316,1.1468277,26.009077
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,60018.5,1.055289,24.859543
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,95352.72,1.0512922,30.013979
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,60018.5,1.1221776,34.178226
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,14098.85,1.0533637,23.17281
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,46398.504,1.0486631,32.17091
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,16229.107,1.1062367,25.734556
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,95352.72,1.132431,44.576756
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,12979.607,1.1633296,33.33051
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,64317.324,1.050489,34.283356
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,40412.39,1.0486659,35.542183
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,34110.777,1.1403637,43.681957
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,12979.607,1.2086903,41.641445
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,12979.607,1.05063,41.910686
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,12979.607,1.1761284,41.057274
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,23784.434,1.0635214,33.582966
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,60018.5,1.0627098,32.658707
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,12979.607,1.153558,40.659977
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,22383.914,1.1553282,34.345448
