document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,13537.918,1.1952125,49.251446
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,6422.702,1.0613853,32.017292
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,13527.345,1.0610634,27.06338
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,6699.0776,1.0571373,35.213825
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,98290.31,1.1237719,27.458132
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,32133.984,1.0518764,37.618202
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,66639.77,1.1462307,30.234142
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,175937.0,1.1268997,19.96587
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,6546.433,1.07298,42.82545
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,5647.4385,1.0480932,32.806103
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,22578.488,1.0673336,32.894196
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,37956.37,1.049098,29.98806
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,7522.223,1.0663295,30.470745
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,11601.86,1.0783842,29.268524
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,54891.68,1.1317797,31.792852
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,58461.93,1.0686694,26.045923
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,5982.532,1.0612242,27.368084
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,14578.293,1.1665162,44.80144
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,29410.924,1.1102985,23.541044
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,12719.633,1.1529511,24.762909
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,23475.44,1.1149328,33.179665
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,727.8323,1.0545837,26.787663
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,262593.1,1.1185477,28.920532
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,41520.85,1.1258737,34.258213
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,79803.41,1.1207371,31.794697
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,29120.395,1.142306,31.548414
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,9568.611,1.1543543,36.920574
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,30288.72,1.2387576,56.82694
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,5833.9907,1.1535306,29.558626
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,54746.71,1.1178405,28.492426
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,38652.7,1.0669609,34.563
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,3411.0315,1.0552554,33.7379
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,54738.188,1.1455891,23.150045
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,19600.543,1.0506101,26.100447
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,50398.395,1.0464027,23.097319
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,74692.04,1.1320707,35.110962
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,5677.494,1.0537279,20.997
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,12684.829,1.0559921,26.285414
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,10541.674,1.0920806,33.156136
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,366508.16,1.1443784,35.230194
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,11850.432,1.1718711,37.535465
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,14876.104,1.0455781,30.997068
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,14211.539,1.0434664,35.92175
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,174812.58,1.1408201,38.354725
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,14855.569,1.19993,43.574986
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,2718.7876,1.0490916,41.106796
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,26498.904,1.1725252,47.99196
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,9091.753,1.075322,39.024963
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,53229.242,1.0619539,31.209671
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,25448.47,1.1446384,40.26389
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,26821.814,1.2283539,38.274723
6209a89f9a794740a12850c5H4RHG7dZTL2wSdv3XyyzNA,14387.646,1.1559023,36.52512
620a46219a794781dc291a08AZGwVNwbQ8yIgsPKpyEhiA,14806.331,1.1493541,33.430622
6260feeb9a79476a79ce041es4TzJh4_TzW8ppT-OTxjkg,8443.972,1.052379,29.362926
620ce7ab9a794702595dc862-5Cx53EvQDWntflGw9_jEQ,14790.192,1.1630293,42.359493
6265bbef9a794740ac14627dFCuGAeo3RMqC5ZXD_WsDtg,3545.7136,1.0488294,35.156555
627ff0d39a7947729e9dfa90RPAwzb0eSzC-Dcq2ZocUfA,7905.1206,1.0503267,26.459274
625db0299a7947d767282409xdaiS-EsSdOcJ5H8rgpO5g,34487.445,1.0478021,32.539364
6282433e9a79470b9c70a35cGBn3ze4UTsyvC35EfQs6VA,27408.467,1.0713227,33.587105
61fc8bea9a79472d0879337bsOYQIXzMQtGy1XCKl6xsHw,23224.408,1.123532,31.966484
62033fe69a7947be30a670aaeFUrrXexSh-xrR_1oGc6-w,23976.62,1.1089387,22.37102
6203b0069a7947f3eede1eb2qy1XDNoUQ3GBeAionL5UTQ,119372.234,1.103769,30.980062
624c3fd09a79476502f307e2exWaNqt-QmKcchXKQ-8KNw,7129.2446,1.1801143,35.950764
623b5bcc9a79477293c33b56Rbe7Ti8uQlyni2v1TTPTaA,215583.19,1.1196723,27.6338
620104a99a7947846c646260vGhSVhpFT1iy6VZ0oq-oew,16144.114,1.1350052,23.196447
624ffda39a794729f99bad79ZIebQLUATRWSnc37OMbrRQ,17776.258,1.1095281,36.144993
6277b3ff9a7947214f2f4893-tYxWzW4Qbmn-jwILfFFjA,8046.1836,1.0541888,27.857351
