document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,14389.043,1.1981342,51.16066
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,6112.639,1.0624202,29.859987
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,12139.036,1.0584924,27.862186
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,5848.4795,1.057668,35.23567
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,97570.64,1.1240491,29.528479
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,29858.926,1.0454133,33.85317
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,66990.94,1.1499183,31.939402
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,170285.69,1.1271807,19.566877
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,5481.736,1.0678533,41.246433
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,6223.4224,1.0471252,34.494198
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,16907.484,1.0693067,34.43046
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,39271.812,1.0532352,31.634426
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,9649.242,1.0677347,31.51393
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,11918.23,1.0691875,29.322176
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,56791.523,1.1281948,31.211088
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,66118.61,1.0613205,26.52785
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,4625.652,1.0562626,29.256199
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,16477.697,1.1642219,45.506435
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,32999.516,1.1140467,25.612198
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,15926.787,1.1550164,24.28732
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,24212.23,1.1298149,33.138283
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,4610.465,1.0458742,29.904818
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,245467.97,1.1250259,28.125895
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,41378.63,1.1342245,32.963627
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,67004.195,1.122361,32.269737
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,29059.049,1.1449872,32.130276
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,9739.488,1.1481079,36.200043
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,24609.129,1.2408928,57.66537
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,7602.0947,1.1569276,30.234556
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,56233.418,1.1273134,30.430262
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,27827.404,1.070621,34.9822
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,3074.0125,1.0614042,37.94269
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,49430.62,1.1427205,23.777817
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,22922.582,1.0483488,25.505184
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,33380.297,1.0477623,26.105162
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,66990.875,1.1201502,33.921707
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,5847.495,1.0520415,21.127453
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,11902.827,1.048734,27.673325
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,22820.068,1.0952044,31.638414
