document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,13695.037,1.225921,47.616142
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,5739.402,1.0565368,29.991856
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,7873.379,1.0576941,34.526466
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,5419.5312,1.0641546,35.177254
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,85696.44,1.1332785,33.273697
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,26940.31,1.0486246,31.490961
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,31977.133,1.1645982,30.579798
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,102909.36,1.1329669,21.88553
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,4270.472,1.0678962,37.99906
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,4270.472,1.0486938,33.58588
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,11056.265,1.0709603,36.92508
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,19369.637,1.0539638,33.11005
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,5739.402,1.063442,30.028667
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,10578.912,1.0681942,25.906506
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,31977.133,1.1432406,32.323795
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,53797.727,1.0625952,23.171806
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,7873.379,1.0631856,32.20078
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,13695.037,1.1870399,43.1599
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,12262.736,1.1325525,23.422441
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,11854.865,1.1447378,22.175425
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,12569.136,1.1149895,30.142693
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,5739.402,1.0490289,32.32198
