document_id,views,depth,full_reads_percent
0,13319.795,1.1122559,39.43511
1,16846.137,1.0964618,31.821583
2,17212.75,1.099211,29.07998
3,13319.795,1.1122559,39.43511
4,73394.44,1.0621185,27.085798
5,102497.77,1.0858332,32.2619
6,42437.4,1.1041181,30.13433
7,30488.654,1.0981051,32.605774
8,13319.795,1.1122559,39.43511
9,13319.795,1.1122559,39.43511
10,27238.23,1.0809404,30.388903
11,58677.938,1.1082637,29.245918
12,28306.264,1.0980787,30.87069
13,26410.924,1.080647,30.259665
14,43144.76,1.0964423,33.044704
15,68380.28,1.081216,31.006056
16,24954.84,1.099211,31.011747
17,13319.795,1.1122559,39.43511
18,13319.795,1.1122559,39.43511
19,16070.851,1.0957822,30.118637
20,14855.08,1.1017663,33.380356
21,21981.098,1.103792,31.011747
22,30488.654,1.0945394,30.726948
23,30488.654,1.106544,32.080204
24,40907.62,1.0990475,32.170467
25,26114.906,1.1019812,30.87069
26,13319.795,1.1122559,39.43511
27,15619.24,1.1164155,36.162846
28,13319.795,1.1122559,39.43511
29,45109.57,1.0789471,26.544708
30,120393.55,1.1011499,29.8258
31,13319.795,1.1122559,39.43511
32,33231.004,1.0860733,30.829771
33,58677.938,1.0737668,29.245918
34,94012.516,1.0861347,27.421404
35,60251.9,1.1036797,29.375793
36,14849.206,1.1090313,29.912983
37,44973.92,1.0990475,30.611967
38,17322.684,1.1003562,32.260017
39,97520.76,1.1030566,26.19742
40,13319.795,1.1122559,39.43511
41,42245.184,1.0964423,30.13433
42,36224.223,1.0924991,33.35476
43,40988.395,1.0884725,29.153114
44,13319.795,1.1122559,39.43511
45,13319.795,1.1122559,39.43511
46,13319.795,1.1122559,39.43511
47,26781.867,1.103792,30.692747
48,58677.938,1.0715097,31.56589
49,13319.795,1.1122559,39.43511
50,22786.777,1.083501,30.6902
51,13319.795,1.1122559,39.43511
52,13319.795,1.1122559,39.43511
53,13319.795,1.1122559,39.43511
54,13319.795,1.1122559,39.43511
55,24335.172,1.0994605,30.87069
56,26410.924,1.080647,30.259665
57,87996.94,1.0925207,29.905785
58,19130.576,1.0973618,32.607433
59,13319.795,1.1122559,39.43511
60,15882.403,1.0957822,30.86604
61,57277.105,1.1682625,32.051365
62,7237.6646,1.100951,30.748415
63,42437.4,1.1041181,30.13433
64,14855.08,1.1003562,29.08745
65,16846.137,1.0979489,30.044668
66,16070.851,1.1018386,30.602219
67,22944.79,1.1117841,30.87069
68,13319.795,1.1122559,39.43511
69,60251.9,1.0835977,27.725761
70,49978.004,1.098812,33.805233
71,14849.206,1.1006026,32.357426
72,13319.795,1.1122559,39.43511
73,44973.92,1.0990475,30.611967
