document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,15217.374,1.1790481,40.469307
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,5733.4805,1.0597626,31.432453
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,6381.037,1.0615044,27.956753
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,5416.494,1.0626036,35.05004
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,90940.586,1.1462678,29.452635
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,18000.117,1.0460824,33.375202
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,32306.008,1.1433669,29.737581
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,52813.57,1.1247693,30.214657
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,6141.4927,1.0653292,34.936607
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,5058.391,1.0444671,35.676666
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,13481.764,1.0800953,29.808575
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,20009.078,1.0536351,31.16277
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,8037.049,1.062267,33.421967
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,10209.025,1.0573698,23.69211
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,47467.56,1.1425989,29.995222
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,18000.117,1.0602297,27.754782
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,6698.854,1.0692676,36.18919
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,17259.398,1.1684656,43.648323
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,11544.45,1.1313474,35.224033
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,15668.117,1.1441346,27.08924
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,18036.375,1.1262243,27.763311
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,6698.854,1.0515265,34.201836
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,57836.46,1.1380501,36.379288
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,28444.2,1.1295902,31.605133
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,47031.918,1.1331178,31.251202
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,21759.355,1.1442647,32.838867
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,12347.8955,1.1582147,39.887646
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,15862.385,1.212546,36.448353
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,13900.9,1.165462,34.542072
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,38649.535,1.1501726,38.218338
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,20812.836,1.0563227,33.17884
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,5058.391,1.0584087,41.89321
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,32306.008,1.1481291,31.30361
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,18000.117,1.0427834,26.364271
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,22861.803,1.0503796,24.61265
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,115822.22,1.1268264,34.178764
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,5419.992,1.0703167,28.667795
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,9969.92,1.0493884,33.340378
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,14410.677,1.1520838,34.2582
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,158199.95,1.1319306,33.310364
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,14986.371,1.1690602,39.675972
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,10463.18,1.0459028,30.605816
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,10463.18,1.039846,28.287968
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,106340.0,1.116126,34.400547
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,15807.689,1.1595075,37.91063
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,5058.391,1.0506662,42.61769
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,14145.127,1.1667439,43.10326
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,7701.967,1.0559607,33.927643
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,27192.072,1.0762067,28.858583
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,16886.531,1.164463,43.972904
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,30630.479,1.1556756,36.782234
6209a89f9a794740a12850c5H4RHG7dZTL2wSdv3XyyzNA,13900.9,1.1653374,38.82945
620a46219a794781dc291a08AZGwVNwbQ8yIgsPKpyEhiA,21267.746,1.1811855,44.188297
6260feeb9a79476a79ce041es4TzJh4_TzW8ppT-OTxjkg,5058.391,1.0536654,31.708431
620ce7ab9a794702595dc862-5Cx53EvQDWntflGw9_jEQ,18036.375,1.1496254,38.977703
6265bbef9a794740ac14627dFCuGAeo3RMqC5ZXD_WsDtg,7678.946,1.0476749,31.790209
627ff0d39a7947729e9dfa90RPAwzb0eSzC-Dcq2ZocUfA,9715.766,1.0500644,26.484467
625db0299a7947d767282409xdaiS-EsSdOcJ5H8rgpO5g,25572.303,1.0595812,28.705908
6282433e9a79470b9c70a35cGBn3ze4UTsyvC35EfQs6VA,9580.744,1.0576602,29.897306
61fc8bea9a79472d0879337bsOYQIXzMQtGy1XCKl6xsHw,13154.593,1.1729474,31.746555
62033fe69a7947be30a670aaeFUrrXexSh-xrR_1oGc6-w,13216.158,1.1373799,24.518116
6203b0069a7947f3eede1eb2qy1XDNoUQ3GBeAionL5UTQ,83869.99,1.117104,31.310314
624c3fd09a79476502f307e2exWaNqt-QmKcchXKQ-8KNw,17259.398,1.1723058,37.09545
623b5bcc9a79477293c33b56Rbe7Ti8uQlyni2v1TTPTaA,71849.02,1.1210424,32.699863
620104a99a7947846c646260vGhSVhpFT1iy6VZ0oq-oew,13566.194,1.1527498,28.8603
624ffda39a794729f99bad79ZIebQLUATRWSnc37OMbrRQ,16593.146,1.1248603,35.10371
6277b3ff9a7947214f2f4893-tYxWzW4Qbmn-jwILfFFjA,6381.037,1.064581,34.340565
624fd3a89a794716d372544f5CUAzs10TwWOwdg3dnyrFA,20816.918,1.1177598,29.15046
6262672c9a7947edb8be11e9AoBTZKPtRCy9Mu7fNFw_gA,5058.391,1.0623741,41.25545
6268bb739a79474eb1121e2eeAd9_fJrTnKh_MdcLYPqAw,18000.117,1.0439945,28.306908
6265f69e9a79474dc2dcb6eajq2srWZJTEeJvA4sAJhTdA,18000.117,1.0496252,30.335571
6266f5389a7947b2e3ce1ba6qNyzvIL0Rl2zal9wzUl16A,5419.992,1.0590086,34.333344
624ff0e19a79472411f31b43OlIGX3f9RN-Uop357_p98g,14410.677,1.1373104,34.98588
623faeaa9a7947653470b1a0fI8XS2MXRyaNdNuJJW9VjA,71255.91,1.1197325,43.571644
624f1fcb9a7947e9d888bc2eGoMLdRUjQ2OQKJOJeEP9RQ,34280.125,1.1752985,36.928284
62850ce99a794782249dc1c7mCXdNIBcStCRGWinWoOqvA,22861.803,1.053101,32.526573
625568df9a794741e114a762p0gt5C5WSQqX18Fb8yuQEA,12958.965,1.0738186,32.279495
6249c58b9a794790fbfb3a72BiOLFRtLQW6sTZ_aYcGd1A,14790.137,1.1979692,40.794823
627e43e79a7947863d9a3d28f3ucRD7ITtefUxsYp7qHKQ,5058.391,1.0614117,42.12731
61fd57569a79478a98c7a954jxbeRzGsQm6f9UdSVdCCmg,15217.374,1.1467613,38.917984
628252089a79471407fd4d16rmFwVXrNQV6UEhFesereGQ,5058.391,1.0772986,42.015987
62483ba99a79473538e719003jWeun5QR7K9Hf5y6sYL_A,19694.88,1.1831409,42.665558
626633779a79475c0264eb97GicKTSv4TfGgkznN_G7t5w,5058.391,1.0613958,36.733635
62920ccb9a7947093f7ce616XlBcJK-MRCiOI3hfxZdXdA,17982.033,1.0508486,28.812353
6282a5429a7947336f8d64b8nnRk0rTkR16wROQJXr400A,7678.946,1.0595893,28.548407
61fa3cd39a7947d756cdca0cemHDBURNSW6B7dsxlC7yLA,16058.618,1.1795905,39.923527
625ecc7e9a79473b4f8aae9c4FuODp-kS0aDzavwnWjyNA,5778.095,1.0557095,37.930138
6255c0729a79476baad93bc2UFPFZw03Ry-nMO_5XCjkcA,23986.596,1.0585696,31.375536
62919afd9a794774d24be856OSGBeNzCSPW_GmbG6-irTw,5058.391,1.0545698,35.85302
623b303f9a794761344bc2a4RHWeYizkRa-wvE9e-wm44w,24731.832,1.1371412,38.45726
62861c019a7947d5857eb3e20nWLHpTJSLCbo8ROSKLc9g,5058.391,1.0722965,38.87124
627ab92e9a794751851fdf3eBfWBRacaQCOaQ1S_LWwXMQ,6381.037,1.0615396,32.72248
6270b77a9a79479ad6dedbd1tu-AquxyRMO2GORTYaN6_A,5058.391,1.0616952,35.958126
628e66749a7947654775ae3exr83ycafQzWgDeMX52VPfw,20812.836,1.052266,30.878035
6246b4b79a794743ce9efdc9Ix6iqt0VQa-LYukRCxK6oQ,19433.389,1.1557131,42.668163
628fa9b49a7947dbd44f440bHqCvEqPQSC-5NBbX7p_etA,16309.252,1.0547234,22.656755
61f95e8d9a7947970d73a5c4uZqPcS5NT5-YlnOXRJL-Ew,16259.193,1.1443136,33.009655
61fc32499a7947191f1d6af0ZAgOWRlASWKbo7ONGv-QAw,14145.127,1.1506225,42.05967
62933cc39a79474b94a34ea9rbu9MdiVRWi9g5n92kNGpA,5058.391,1.0523182,38.71075
628b49009a7947bf170e8190pWFEWX6zR_yC1OkesuMlnA,9222.641,1.066668,31.09158
61fc6f9f9a7947256d8a90e7gZXyjv6UQiG2NsAYfODHiw,29125.842,1.1769222,39.884827
6257a04e9a79477e079ed071QIES5rIgS3G0hCPDoqVzDw,6378.49,1.0602424,30.222313
623e38cc9a794712a0892f2dAIcdWGmRRNqJ_RYeYfeTig,72529.67,1.1449941,33.273117
620280679a79478b1ac68257hLI2jEQ2TdqUSep4_YVBYw,15862.385,1.1514888,40.314007
625401d99a7947bbde7cebb5Zt-SUqtxTZWwjJDS1cRSUw,19380.273,1.0645844,30.927448
