document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,10737.985,1.1578102,39.475426
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,4910.0903,1.0554031,34.091064
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,4910.0903,1.0597309,33.188023
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,4910.0903,1.0670866,36.76368
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,68158.64,1.1367267,29.736282
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,12564.926,1.0472897,33.659725
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,26138.746,1.1547502,33.565502
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,20049.828,1.1297548,32.77645
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,4910.0903,1.0677651,40.36738
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,4910.0903,1.0485296,36.636204
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,7341.856,1.0728685,30.710154
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,12564.926,1.0505594,29.753708
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,7341.856,1.0603545,31.534603
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,7341.856,1.0551566,24.917473
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,26138.746,1.1555929,32.832764
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,12564.926,1.0575757,29.646915
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,6183.432,1.0665171,33.762127
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,11940.289,1.1719906,36.90498
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,9360.5625,1.140048,36.98982
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,10737.985,1.1243726,23.90233
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,14330.114,1.142006,32.1985
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,6183.432,1.0532572,30.584219
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,42846.113,1.1391686,30.832096
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,13169.75,1.1723758,35.343307
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,26138.746,1.132484,32.092804
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,13169.75,1.1287167,34.079
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,10737.985,1.1520201,38.202274
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,10737.985,1.1515971,46.48412
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,14330.114,1.1692686,33.991245
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,26138.746,1.1346269,27.595518
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,13757.084,1.0550224,28.764193
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,4910.0903,1.060092,38.20148
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,14372.054,1.1371938,32.269886
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,11270.57,1.0483842,30.965351
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,13757.084,1.050546,27.024567
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,74222.24,1.1305623,31.328428
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,4910.0903,1.0607898,24.064964
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,9693.163,1.0522654,34.02067
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,10737.985,1.1316909,37.91274
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,89917.125,1.1163399,31.854603
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,10737.985,1.161356,42.750076
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,9693.163,1.0451012,31.45489
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,9693.163,1.0442147,31.763529
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,73987.84,1.1170539,31.767044
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,11940.289,1.169607,41.415318
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,4910.0903,1.050221,40.132965
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,10737.985,1.1687566,41.396645
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,6183.432,1.0596803,32.727413
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,19011.65,1.0607753,29.643137
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,13363.065,1.1623532,41.561108
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,13169.75,1.1622182,37.927265
6209a89f9a794740a12850c5H4RHG7dZTL2wSdv3XyyzNA,14330.114,1.1562119,39.049812
620a46219a794781dc291a08AZGwVNwbQ8yIgsPKpyEhiA,14874.556,1.163117,42.091877
6260feeb9a79476a79ce041es4TzJh4_TzW8ppT-OTxjkg,4910.0903,1.0562747,34.30327
620ce7ab9a794702595dc862-5Cx53EvQDWntflGw9_jEQ,14330.114,1.1745559,39.494713
6265bbef9a794740ac14627dFCuGAeo3RMqC5ZXD_WsDtg,7341.856,1.0533199,33.45855
627ff0d39a7947729e9dfa90RPAwzb0eSzC-Dcq2ZocUfA,7341.856,1.0508903,26.182388
625db0299a7947d767282409xdaiS-EsSdOcJ5H8rgpO5g,13757.084,1.0546365,31.338274
6282433e9a79470b9c70a35cGBn3ze4UTsyvC35EfQs6VA,7341.856,1.0608842,26.022245
61fc8bea9a79472d0879337bsOYQIXzMQtGy1XCKl6xsHw,10737.985,1.1676909,39.75367
62033fe69a7947be30a670aaeFUrrXexSh-xrR_1oGc6-w,9360.5625,1.1457633,26.860727
6203b0069a7947f3eede1eb2qy1XDNoUQ3GBeAionL5UTQ,48937.793,1.1418598,31.822714
624c3fd09a79476502f307e2exWaNqt-QmKcchXKQ-8KNw,11940.289,1.1560333,37.270916
