document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,18407.574,1.2058018,48.065365
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,12406.242,1.0588986,24.591015
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,12989.003,1.0570148,28.021238
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,8522.158,1.0588701,34.95055
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,26204.469,1.140327,31.653341
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,12054.116,1.0416691,37.111614
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,44811.953,1.1639948,31.169668
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,91602.66,1.1394875,20.002775
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,7445.65,1.0691605,40.34335
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,10702.967,1.0423467,33.698063
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,15476.99,1.0738975,33.319702
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,11559.815,1.0566543,36.10753
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,7918.422,1.0644053,34.16299
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,7518.31,1.0635378,25.288969
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,40283.684,1.1480839,29.437132
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,26215.643,1.0652763,26.828676
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,9126.3545,1.0598859,31.250965
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,31821.104,1.169453,42.801
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,33870.234,1.1201524,24.112604
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,12180.513,1.1347805,21.812195
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,44120.797,1.133902,29.443624
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,7281.0913,1.0451502,31.31209
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,578401.9,1.1363549,29.135296
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,21741.926,1.1486281,36.68428
