document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,20519.121,1.1952376,50.99357
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,10085.742,1.0566926,28.55542
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,13449.64,1.058479,28.349379
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,12017.811,1.0565971,34.146027
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,31445.795,1.1293617,31.542337
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,8550.335,1.0415108,35.074406
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,39599.297,1.1536055,31.274076
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,90357.86,1.1318815,21.444065
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,7513.104,1.0655293,40.628315
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,7172.564,1.0418323,36.450584
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,13208.637,1.0818547,37.445007
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,11004.171,1.0543538,37.224792
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,7389.3096,1.0657446,33.927505
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,6983.4727,1.0659317,26.300138
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,46870.75,1.151044,27.21533
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,24659.592,1.0623126,26.985907
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,7445.318,1.0620546,36.37127
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,33996.83,1.1823514,40.37092
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,31163.408,1.1240005,25.550816
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,12403.435,1.1320136,23.007515
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,47852.137,1.131171,28.996363
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,7436.3066,1.0463649,32.35356
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,399455.53,1.1227336,28.240404
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,22581.318,1.1494969,35.769703
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,56357.87,1.1171519,31.560858
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,29534.035,1.1466544,38.443443
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,12548.848,1.1537093,37.6553
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,25907.936,1.234192,55.527775
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,10161.496,1.1448197,31.145924
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,32525.09,1.1358021,30.769232
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,8550.279,1.0587327,40.49131
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,5349.2583,1.0544821,36.63349
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,41024.703,1.1447088,25.78335
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,10567.064,1.0484182,22.90308
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,10390.954,1.0486875,27.2299
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,38500.285,1.1226186,33.917835
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,10943.257,1.0508431,21.815365
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,11349.783,1.0499136,29.958998
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,31688.104,1.1068609,33.158623
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,63907.137,1.1386892,41.32336
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,35861.996,1.1493607,34.702244
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,8567.228,1.047147,33.13853
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,7502.7007,1.0459602,35.228172
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,104745.15,1.1375372,46.320335
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,14611.003,1.2008905,38.73771
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,11456.18,1.0511429,40.041847
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,19966.45,1.1577257,38.736446
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,22682.67,1.0574174,35.40935
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,16520.521,1.0672469,30.288061
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,21570.096,1.1570022,39.9901
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,18240.223,1.1497828,37.08779
6209a89f9a794740a12850c5H4RHG7dZTL2wSdv3XyyzNA,13989.991,1.1590824,35.618176
620a46219a794781dc291a08AZGwVNwbQ8yIgsPKpyEhiA,21831.223,1.1664066,39.500046
6260feeb9a79476a79ce041es4TzJh4_TzW8ppT-OTxjkg,12517.416,1.0527498,30.06146
620ce7ab9a794702595dc862-5Cx53EvQDWntflGw9_jEQ,20124.229,1.1489758,38.214302
6265bbef9a794740ac14627dFCuGAeo3RMqC5ZXD_WsDtg,7102.102,1.0468991,39.981937
627ff0d39a7947729e9dfa90RPAwzb0eSzC-Dcq2ZocUfA,9369.485,1.0536166,31.950108
625db0299a7947d767282409xdaiS-EsSdOcJ5H8rgpO5g,12830.67,1.0526308,32.90096
6282433e9a79470b9c70a35cGBn3ze4UTsyvC35EfQs6VA,15774.409,1.0701535,33.21612
61fc8bea9a79472d0879337bsOYQIXzMQtGy1XCKl6xsHw,25983.693,1.1440043,32.593494
62033fe69a7947be30a670aaeFUrrXexSh-xrR_1oGc6-w,21170.086,1.1177996,26.004465
6203b0069a7947f3eede1eb2qy1XDNoUQ3GBeAionL5UTQ,30729.004,1.1132745,33.896637
624c3fd09a79476502f307e2exWaNqt-QmKcchXKQ-8KNw,30453.06,1.1532394,36.02151
623b5bcc9a79477293c33b56Rbe7Ti8uQlyni2v1TTPTaA,146622.75,1.1234235,30.029156
620104a99a7947846c646260vGhSVhpFT1iy6VZ0oq-oew,12819.451,1.1090218,25.829945
624ffda39a794729f99bad79ZIebQLUATRWSnc37OMbrRQ,22455.295,1.1061288,37.814514
6277b3ff9a7947214f2f4893-tYxWzW4Qbmn-jwILfFFjA,6643.935,1.0529642,33.094177
624fd3a89a794716d372544f5CUAzs10TwWOwdg3dnyrFA,29432.625,1.0978705,36.53981
6262672c9a7947edb8be11e9AoBTZKPtRCy9Mu7fNFw_gA,5494.9736,1.0672458,49.791473
6268bb739a79474eb1121e2eeAd9_fJrTnKh_MdcLYPqAw,10090.868,1.0445629,27.641953
6265f69e9a79474dc2dcb6eajq2srWZJTEeJvA4sAJhTdA,9024.901,1.0464269,30.901321
6266f5389a7947b2e3ce1ba6qNyzvIL0Rl2zal9wzUl16A,7829.1978,1.048491,32.50603
624ff0e19a79472411f31b43OlIGX3f9RN-Uop357_p98g,15844.812,1.1976339,36.83846
623faeaa9a7947653470b1a0fI8XS2MXRyaNdNuJJW9VjA,100240.67,1.1262946,37.20037
624f1fcb9a7947e9d888bc2eGoMLdRUjQ2OQKJOJeEP9RQ,26615.844,1.1433132,36.529152
62850ce99a794782249dc1c7mCXdNIBcStCRGWinWoOqvA,8880.07,1.0544256,32.234303
625568df9a794741e114a762p0gt5C5WSQqX18Fb8yuQEA,17237.47,1.0789354,30.489311
6249c58b9a794790fbfb3a72BiOLFRtLQW6sTZ_aYcGd1A,20411.39,1.1591058,36.83494
627e43e79a7947863d9a3d28f3ucRD7ITtefUxsYp7qHKQ,9972.859,1.0581115,35.481903
61fd57569a79478a98c7a954jxbeRzGsQm6f9UdSVdCCmg,18976.291,1.1438872,34.975655
628252089a79471407fd4d16rmFwVXrNQV6UEhFesereGQ,4063.7307,1.0708256,49.35504
62483ba99a79473538e719003jWeun5QR7K9Hf5y6sYL_A,23989.143,1.1750909,38.839516
626633779a79475c0264eb97GicKTSv4TfGgkznN_G7t5w,5931.6475,1.0577509,40.367058
62920ccb9a7947093f7ce616XlBcJK-MRCiOI3hfxZdXdA,8407.561,1.0504924,35.622803
6282a5429a7947336f8d64b8nnRk0rTkR16wROQJXr400A,9238.515,1.0621634,34.490395
61fa3cd39a7947d756cdca0cemHDBURNSW6B7dsxlC7yLA,32403.764,1.1540064,37.374943
625ecc7e9a79473b4f8aae9c4FuODp-kS0aDzavwnWjyNA,10405.51,1.0526847,31.876507
6255c0729a79476baad93bc2UFPFZw03Ry-nMO_5XCjkcA,13753.618,1.065983,36.23981
62919afd9a794774d24be856OSGBeNzCSPW_GmbG6-irTw,5734.057,1.0537708,33.204723
623b303f9a794761344bc2a4RHWeYizkRa-wvE9e-wm44w,43559.234,1.1336766,34.554058
62861c019a7947d5857eb3e20nWLHpTJSLCbo8ROSKLc9g,7517.5493,1.058101,38.724014
627ab92e9a794751851fdf3eBfWBRacaQCOaQ1S_LWwXMQ,8306.926,1.0640149,32.758213
6270b77a9a79479ad6dedbd1tu-AquxyRMO2GORTYaN6_A,7492.316,1.056605,43.74954
628e66749a7947654775ae3exr83ycafQzWgDeMX52VPfw,9878.715,1.0520613,31.54848
6246b4b79a794743ce9efdc9Ix6iqt0VQa-LYukRCxK6oQ,33129.887,1.1495639,35.3036
628fa9b49a7947dbd44f440bHqCvEqPQSC-5NBbX7p_etA,9633.115,1.0590346,31.18091
61f95e8d9a7947970d73a5c4uZqPcS5NT5-YlnOXRJL-Ew,25919.387,1.151356,35.057693
61fc32499a7947191f1d6af0ZAgOWRlASWKbo7ONGv-QAw,19964.752,1.1506517,38.04628
62933cc39a79474b94a34ea9rbu9MdiVRWi9g5n92kNGpA,6770.491,1.0462837,36.875313
628b49009a7947bf170e8190pWFEWX6zR_yC1OkesuMlnA,5038.8516,1.0609045,41.97271
61fc6f9f9a7947256d8a90e7gZXyjv6UQiG2NsAYfODHiw,15852.902,1.1567901,45.506516
6257a04e9a79477e079ed071QIES5rIgS3G0hCPDoqVzDw,10394.35,1.0600207,31.957691
623e38cc9a794712a0892f2dAIcdWGmRRNqJ_RYeYfeTig,87735.44,1.1233824,43.812057
620280679a79478b1ac68257hLI2jEQ2TdqUSep4_YVBYw,35184.004,1.1267393,36.084064
625401d99a7947bbde7cebb5Zt-SUqtxTZWwjJDS1cRSUw,20167.1,1.0596317,25.645409
6201cedf9a794740603d6b73ZzYEG3hWTMydOR6R-klEwg,19388.41,1.1533072,37.717
620fd7409a7947aaa25d8377KwRX8wrgS9K8Amielf7Guw,39045.67,1.1492732,36.921047
626e38b99a7947124a7e8c3aqIN_x8M9Rt-8Y60sffT0Bg,6224.4077,1.0692587,25.104185
623324609a794755e58a6f54UXmfblMDT5y14P2ww7YhEQ,81981.336,1.1323615,23.543917
620742d19a7947acb4dbf54afk1WrzpMQa-GHKnWBDjECQ,11345.074,1.0827487,35.90387
