document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,20518.807,1.2144555,46.195847
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,10517.087,1.0594566,31.52576
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,13369.751,1.0589304,30.015947
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,11681.751,1.0572758,33.203144
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,28683.297,1.1260536,31.96687
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,11346.585,1.0463594,36.57128
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,40125.176,1.1649458,32.054832
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,94681.61,1.1321617,22.16045
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,7939.6055,1.0669158,41.199986
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,8061.755,1.0445868,30.796501
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,15144.875,1.0753071,36.701042
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,11107.316,1.055119,38.417057
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,8034.0195,1.0646881,31.762234
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,6780.887,1.067872,26.563625
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,46697.617,1.1383883,31.34399
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,24764.674,1.0643626,26.662453
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,7986.8643,1.0634456,34.51558
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,34198.293,1.1589646,35.988777
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,46542.96,1.122326,26.492413
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,12429.034,1.137988,22.904652
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,45856.94,1.1199808,27.881983
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,7826.3726,1.0427982,31.963856
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,656719.9,1.1254444,27.811226
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,22950.912,1.1508468,35.273956
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,47514.965,1.120368,34.102074
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,36937.3,1.1506917,39.0557
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,11591.371,1.1583233,38.017513
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,27265.34,1.2526172,57.760532
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,9391.42,1.1600541,29.462948
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,36499.473,1.1309557,28.815762
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,14341.958,1.0663642,38.84365
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,5531.132,1.0566679,35.223846
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,41709.652,1.1472304,25.841764
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,11410.16,1.0503082,26.480341
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,10759.929,1.0491538,28.402437
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,36746.445,1.1212189,34.36428
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,12961.032,1.0516373,21.383894
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,9695.377,1.0506766,31.226017
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,35738.797,1.1231685,26.358368
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,94194.49,1.1532519,41.05053
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,39745.445,1.1594951,34.34321
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,8864.932,1.045579,32.774952
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,7634.2764,1.0435416,35.720184
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,84135.24,1.1285441,44.798607
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,13071.138,1.2029173,39.43633
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,13003.645,1.0470003,40.18934
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,19039.043,1.1635756,39.932182
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,16290.708,1.0665895,33.99698
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,19016.055,1.0617658,32.37678
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,23860.951,1.1595334,37.80589
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,17305.182,1.1754291,37.92074
6209a89f9a794740a12850c5H4RHG7dZTL2wSdv3XyyzNA,16229.261,1.1627754,37.201263
