document_id,views_pred_xgb,depth_pred_xgb,frp_pred_xgb
6205efa59a7947334dd24392LaGM8B_kQ_S-P8VegzFJaA,15079.974,1.143741,29.904661
620e29b69a79477b9ca5d40aH5CLGAupQCmcUXxIVDdc6A,28588.969,1.1438825,37.430058
625fa1c99a79477207bc61859ExJUI_lR5eGzVQDV4mJSw,6143.916,1.0558746,33.406445
628945119a794744b3308e22ssl0qmnLRoOGquLld3odfQ,14743.953,1.0602765,34.452026
6203c5ca9a7947ffdbc3c4e75nKbbeV3RsesdjzdhoaG2Q,22509.697,1.1352981,26.992079
627303699a794749b8116abc12JX_3ZDTDu2XHF3k2eJVg,7755.958,1.052876,37.901398
627394d19a79477558804724OzHfTDTxTFa9tS4euFaXig,13628.223,1.0534942,27.297005
628acc169a794796d0493acb50tIkSGVSf2O8XQgk_uaHQ,14078.435,1.0539466,34.272163
61fce1fa9a794749b32a53cbUSZyxEDURzCoQC3G2eZYoA,30554.068,1.1546445,37.453697
620b332b9a794749f56bb95bLcoHGiVjSfKR7CiSxh6qbw,31224.127,1.1478761,36.32577
627834249a7947425eb4d34f1jxszdFbTZ6Dx45ZtYeMFQ,5376.9106,1.0447993,40.27273
628c8f1b9a79472e8fb68134a0dNZqY9Ryy5CnFf7mICnQ,7289.3833,1.0601151,37.191784
628dd2a69a7947199109a1dfRss6aYaORVyoSoyXmuM1Jg,9650.292,1.0624613,27.426132
6284ca249a794762d7348483bCM0h0aRRtGVjEBSPRtdLg,10770.271,1.0605924,34.865936
620d9c2e9a79474357b79b70DFPC36uPRJ6qT771O5o_DA,10287.59,1.1698217,42.031357
620b11409a7947420fff1c386sgT7harRv-BJZCbdUy20A,20213.695,1.1615593,28.722015
625eb1f69a79472fe9fb7852ZN4IGxFoR3CgT163wGEhrw,9578.651,1.0567248,30.8815
6262ccbe9a79471b3f4577a4CavjXN1eRIuleAqAsyWLbw,9273.762,1.0534179,31.900196
6290214b9a7947f912d63452XoxiuDjsSA-neli0Hys48g,5014.9956,1.0521625,33.85643
628b05d59a7947a2ae96ff28Y3onIuIiRhay-6KQECanOQ,9304.588,1.0594109,36.863426
6205bd8d9a7947279d11e60beJ4905ImQgqArcGM1SvLVQ,24745.053,1.1437149,38.89215
620b2b999a7947477f69751ft6w0GNSfSQe6VHxusCVaJQ,9327.086,1.1838042,37.01621
6262947e9a79470312654c46eEOJ8jFnQ8yR6iD8ONWkbg,11006.603,1.0569915,34.60702
625d32529a7947a323a4e7b3lOxNx8e1QweJeu3MjAQjNA,12768.117,1.0465474,24.384438
624c03a39a794747dc04a7145sHoC5DQRYyOR92V_ypG3A,36379.023,1.1600349,32.90889
627284269a794723941e9e1cX-7v6KFuSfO260BYr-xfwg,10526.907,1.0613631,21.883663
62015c0a9a794724287b0d6djjVwaS6DSE2xtLGK-YShjA,17805.074,1.1619935,39.432293
623c5d5f9a7947423bc6b24dLrt5WmD4QXe7Xaw_SdwnpQ,20393.994,1.1229248,40.03529
628de2049a794720ca7217a6kIiX0KfaQRKCkp5FyQ40fg,11156.499,1.0621853,40.124203
624da5629a79475d6b7494c739iofWssS--tnFNU083DWg,119423.73,1.2215043,27.83268
626852969a7947355f9261ae6o162wRERO6Oc5QJLq4sdQ,7403.9263,1.041705,35.780476
6266d3f49a7947aabb404c77gW0bziHsQm213b7euOO4Wg,7777.58,1.0511596,28.736345
624ae60d9a7947ec8b2d25613PvP1OsWRJWhIyXjaY4CyA,27744.793,1.1479902,35.897655
6248e84b9a79475df2ead341ev2aypeQQiS0xXeKVa24dA,34549.21,1.146546,38.410416
6201c5e79a794740603d6b6cKJUES0KZTTmPCtLwXWDjSQ,30745.207,1.1479392,27.516705
6268397b9a79472ff32e7b0aZvAXJUDPQkmdrra0u6BW7w,6156.385,1.0523535,27.471804
61fb423c9a7947396507a2d1Zz4FiCdxSEmXFqHEt7USKA,16854.291,1.1472332,38.539062
6271faa89a7947e496b643a2LvjhofhNQTmWn2VBxGRrqg,9708.687,1.0684955,33.427803
624d293a9a79472378c15e21pb-gGdksSWyg9IsP5vd2kw,18919.873,1.1873164,49.465508
62413d8b9a7947c027fcc288PPaUvSrqQmKsoANV8D_OWw,152097.72,1.1409053,38.090904
61fbb7759a79476832dc06dcM5242OxGTPOcoOJ8KuX5MQ,22706.24,1.1530906,30.032845
6286134a9a7947d0f4799e6fN8DQoi6-S9mOsr31JYctrg,11470.554,1.0485013,22.17107
620478349a794733357ee354YzevweVQTymfO97Ml7EeAA,26541.883,1.1467745,37.910755
624a6e129a7947b64198b736W9ylHdJRQSuXKHxSNI-dRw,19686.637,1.1425002,31.14911
620e6db09a79471f333310b4fj-tYWBzTvydyrE66zO29g,8730.6875,1.1669016,24.787867
628faea09a7947dd41776b15hQehZLPRSg-rIRy6G1SFdw,11390.856,1.0585467,29.63984
625802619a7947a9ab69d3ffOgwKveq6ToivRfl9lkXqbQ,31009.895,1.0632012,32.035748
628f176a9a79478e7f4d7374LEVVIa5ESlebNa-VFvXv_g,10558.325,1.0641351,35.647247
61fa733e9a7947f645c4f6efWr0ubmYVSIK-7ov9es4Z0w,16137.232,1.1758231,33.42772
625428d59a7947d0843cf10duwa0yBV1RuWQ11eDOE5DJQ,10510.178,1.066165,31.028831
627916f59a79477790dfcf24nJsFWsiBQruxtRvbmxkY0g,5646.4756,1.0475559,37.322906
62010cda9a7947029d2a482coOMjGAAST7y5VSYbTZx45Q,15380.947,1.1487463,37.726032
6201d7569a794742c0886f59z-rvVtbbTNG67zYq_nkR8g,18413.203,1.1530871,42.849213
6293b9779a79476be465e196i0e_kcANSlS7_Gn5G6Sw5w,6153.548,1.0555636,54.682213
6242e0a59a7947620e6a5da803U3ThmmStabWjlVOlmMdQ,39103.41,1.131932,30.912056
6253bd5a9a79479afd73af24qeqKKj11SzaSXjopcEoQKg,15469.052,1.0613345,28.272676
62670b0e9a7947c13feb4ef2Q5gaPqPsSBaeLQFgtfTYAA,13243.981,1.0439941,38.17292
627ff8719a79477430bcd440ZrhpX-InQ-ORqfB16H6ysw,8575.277,1.0573579,33.635796
6245c1ff9a7947ef7faf00a37UsfjHspRdazIby0UvXqrg,77332.375,1.1291168,30.556383
62509f499a79476cf150d89fwQL1tosgShagMiwOqpBnsQ,42241.8,1.0757384,36.011616
62693a9f9a794701e117d47eFsAkjroJTza8c06ewnQGeg,7882.518,1.0426378,26.57344
625aeab59a794712de9c6dc2d-SMsAaTSCaYhVaoqCmJYg,9286.896,1.042775,34.770832
620a2c019a7947738191e94bot36T9sVQHOgA1E-YnWRaA,26142.803,1.264315,52.881325
624fd68f9a794718e2755c04ZIebQLUATRWSnc37OMbrRQ,19403.889,1.1192083,40.190342
624ee1d79a7947c69a468bdaL-WkMXbYQECUdNVhPjZyKA,22075.775,1.1477178,32.759113
61fbf0de9a794702a16d2b4eYhZV7apVTEebb5F6J7g0hQ,24844.22,1.1397709,33.224472
6243c9ae9a7947297a39935aVtxR7o_ARs6Ja-nbfrAK1w,61127.535,1.141427,43.15863
625a489d9a794773004e0ed4U9xPbHBURdi4oGv98ZGe5g,6745.96,1.0477993,36.363163
62062f4d9a794751ec3c3b8dLagi-sDhToWBY0OXesCg8Q,47896.945,1.1511055,35.607857
61fb08fc9a79472ef882f013rx6zJQJSQtah8qXwF7gewQ,135974.73,1.1304028,29.040583
62865c239a7947f83205434eNoVeq6Z8Q1W1VOl9krBbow,10288.795,1.05443,34.597786
624f57cb9a7947fbdbcfcfd45CUAzs10TwWOwdg3dnyrFA,19501.283,1.1144681,38.30413
628313c99a79474c538199daI33eC5UkSlOSZa9VonSRkQ,7129.711,1.0582848,37.240955
627599a99a7947ad14bc86449oMs1NgNRXGQsR0JiDD1QQ,11322.93,1.0450348,29.66338
6266cebf9a7947a981e86b32he8-5RrbRK6Rj1W6m1QdcQ,10965.84,1.0530938,29.604214
61fc0fdf9a79470f619c3915b_OkkpZ6SzWn3tNbajfzzA,17330.871,1.1600835,29.735647
