document_id,views_pred_xgb,depth_pred_xgb,frp_pred_xgb
6205efa59a7947334dd24392LaGM8B_kQ_S-P8VegzFJaA,13555.776,1.1488413,29.85162
620e29b69a79477b9ca5d40aH5CLGAupQCmcUXxIVDdc6A,24781.34,1.1459403,36.886868
625fa1c99a79477207bc61859ExJUI_lR5eGzVQDV4mJSw,7107.385,1.0554926,34.222855
628945119a794744b3308e22ssl0qmnLRoOGquLld3odfQ,13802.518,1.0588326,34.808723
6203c5ca9a7947ffdbc3c4e75nKbbeV3RsesdjzdhoaG2Q,22890.371,1.1321547,26.64079
627303699a794749b8116abc12JX_3ZDTDu2XHF3k2eJVg,8344.76,1.0519086,38.907413
627394d19a79477558804724OzHfTDTxTFa9tS4euFaXig,11434.759,1.0547961,26.540928
628acc169a794796d0493acb50tIkSGVSf2O8XQgk_uaHQ,12570.97,1.0561073,33.585438
61fce1fa9a794749b32a53cbUSZyxEDURzCoQC3G2eZYoA,29652.094,1.1584361,35.32395
620b332b9a794749f56bb95bLcoHGiVjSfKR7CiSxh6qbw,27883.104,1.1473923,34.576973
627834249a7947425eb4d34f1jxszdFbTZ6Dx45ZtYeMFQ,6076.5537,1.045692,40.69605
628c8f1b9a79472e8fb68134a0dNZqY9Ryy5CnFf7mICnQ,8014.984,1.0614718,36.40223
628dd2a69a7947199109a1dfRss6aYaORVyoSoyXmuM1Jg,8924.45,1.0628769,28.123026
6284ca249a794762d7348483bCM0h0aRRtGVjEBSPRtdLg,8817.846,1.0593575,35.210503
620d9c2e9a79474357b79b70DFPC36uPRJ6qT771O5o_DA,10590.111,1.1639086,41.354885
620b11409a7947420fff1c386sgT7harRv-BJZCbdUy20A,19091.826,1.1687356,28.21101
625eb1f69a79472fe9fb7852ZN4IGxFoR3CgT163wGEhrw,8973.362,1.0539144,34.91182
6262ccbe9a79471b3f4577a4CavjXN1eRIuleAqAsyWLbw,9559.541,1.0532646,30.44844
6290214b9a7947f912d63452XoxiuDjsSA-neli0Hys48g,4666.6113,1.0543923,34.989746
