document_id,views_pred_xgb,depth_pred_xgb,frp_pred_xgb
6205efa59a7947334dd24392LaGM8B_kQ_S-P8VegzFJaA,14691.547,1.1501796,29.39674
620e29b69a79477b9ca5d40aH5CLGAupQCmcUXxIVDdc6A,29872.63,1.1415414,36.52813
625fa1c99a79477207bc61859ExJUI_lR5eGzVQDV4mJSw,5718.345,1.0540258,34.898712
628945119a794744b3308e22ssl0qmnLRoOGquLld3odfQ,11345.61,1.0588995,35.052383
6203c5ca9a7947ffdbc3c4e75nKbbeV3RsesdjzdhoaG2Q,27334.193,1.1343099,28.01141
627303699a794749b8116abc12JX_3ZDTDu2XHF3k2eJVg,7384.857,1.0521761,38.75498
627394d19a79477558804724OzHfTDTxTFa9tS4euFaXig,10399.849,1.0526826,26.313715
628acc169a794796d0493acb50tIkSGVSf2O8XQgk_uaHQ,10621.292,1.0535381,32.85296
61fce1fa9a794749b32a53cbUSZyxEDURzCoQC3G2eZYoA,30458.672,1.159986,36.23888
620b332b9a794749f56bb95bLcoHGiVjSfKR7CiSxh6qbw,26491.297,1.1468586,35.13361
627834249a7947425eb4d34f1jxszdFbTZ6Dx45ZtYeMFQ,5639.9155,1.0446113,38.788025
628c8f1b9a79472e8fb68134a0dNZqY9Ryy5CnFf7mICnQ,7548.6724,1.059856,35.86601
628dd2a69a7947199109a1dfRss6aYaORVyoSoyXmuM1Jg,8247.677,1.0616163,27.721298
6284ca249a794762d7348483bCM0h0aRRtGVjEBSPRtdLg,9093.036,1.0555664,35.168583
620d9c2e9a79474357b79b70DFPC36uPRJ6qT771O5o_DA,11446.113,1.166355,41.405003
620b11409a7947420fff1c386sgT7harRv-BJZCbdUy20A,17935.012,1.1622334,28.3265
625eb1f69a79472fe9fb7852ZN4IGxFoR3CgT163wGEhrw,8571.488,1.053552,32.397655
6262ccbe9a79471b3f4577a4CavjXN1eRIuleAqAsyWLbw,9093.036,1.0535886,32.415062
6290214b9a7947f912d63452XoxiuDjsSA-neli0Hys48g,5495.3706,1.0525486,34.19917
628b05d59a7947a2ae96ff28Y3onIuIiRhay-6KQECanOQ,9138.299,1.0577224,39.452972
6205bd8d9a7947279d11e60beJ4905ImQgqArcGM1SvLVQ,26141.754,1.1499656,38.535057
620b2b999a7947477f69751ft6w0GNSfSQe6VHxusCVaJQ,8163.9463,1.1805608,39.286125
6262947e9a79470312654c46eEOJ8jFnQ8yR6iD8ONWkbg,9013.511,1.0534241,35.2466
625d32529a7947a323a4e7b3lOxNx8e1QweJeu3MjAQjNA,9190.118,1.0426342,25.815247
624c03a39a794747dc04a7145sHoC5DQRYyOR92V_ypG3A,34685.09,1.1685545,33.982697
627284269a794723941e9e1cX-7v6KFuSfO260BYr-xfwg,7669.2983,1.0606883,21.563898
62015c0a9a794724287b0d6djjVwaS6DSE2xtLGK-YShjA,14819.003,1.1554421,39.69818
623c5d5f9a7947423bc6b24dLrt5WmD4QXe7Xaw_SdwnpQ,34880.934,1.1224396,40.11195
628de2049a794720ca7217a6kIiX0KfaQRKCkp5FyQ40fg,6770.257,1.0602405,41.24567
624da5629a79475d6b7494c739iofWssS--tnFNU083DWg,100187.59,1.2127151,27.808584
626852969a7947355f9261ae6o162wRERO6Oc5QJLq4sdQ,7434.6123,1.0395762,32.28037
6266d3f49a7947aabb404c77gW0bziHsQm213b7euOO4Wg,8269.265,1.0506833,28.327566
624ae60d9a7947ec8b2d25613PvP1OsWRJWhIyXjaY4CyA,26958.916,1.1461957,35.352905
6248e84b9a79475df2ead341ev2aypeQQiS0xXeKVa24dA,45390.914,1.1414734,37.940235
6201c5e79a794740603d6b6cKJUES0KZTTmPCtLwXWDjSQ,31687.629,1.1545769,26.957125
