document_id,views_pred_xgb,depth_pred_xgb,frp_pred_xgb
6264436d9a794777480a19b8OWmUNqI1TU-lS1ccKnTgJQ,8265.952,1.0577766,41.358685
6279322e9a79477df1012009rLxP2oihQxaCLyJRf1xkAw,2405.5886,1.0455728,39.85041
624d37fc9a794728af8ebe53yaNxRQkgQz-guNnJ6Ri8TQ,13290.899,1.1543264,39.407345
6266e7f09a7947b090150b62t9JGY24FQ5mQ4dYv_WqgUA,9037.079,1.0482093,30.240303
624172c89a7947d90fcb9777pzat2SJ0Rf-aZNpfEI6zDQ,13539.266,1.128158,40.88236
61fe4ca49a7947c8ff6eb53bR1iVsCqeTO24STLsXNWhBg,17387.307,1.1717898,40.678284
62570d629a79475cd1ec5b2eVgT8ejA9RYmBonXAn2yv6g,11826.298,1.0693959,41.556686
626ae2b19a7947a447de493bsToUEkPcQPa2r3v4CfHoTw,4359.9033,1.0418543,31.734503
620617889a794743f9d6b919RlQRajccReaTKqibzGRS_w,24867.41,1.1440271,18.483686
61fdae029a7947a358ab258aKbHCImH_QByWnyUAnCPXEg,5783.658,1.1485653,38.34364
625ccc179a79477c9066bcf9Ozp0uQwmSJCr8XNIpip4vw,10042.179,1.0507478,34.86269
61f929e09a79477dd9e6a2c6njJOe9pWSeuW36Fe7tudrA,44194.074,1.1455432,29.249039
62613bed9a7947890f906927pWphDW40SqCxycMRRM6mLQ,6883.9697,1.0611039,26.525734
6244d4349a7947943350c634tKlqoxQYSmij0ZBrGzebug,21544.14,1.1093041,27.291836
623c23379a794723f930f1bddJy5CWIlStK2DnuqTXs9sw,26332.717,1.1526388,31.470848
6285ba2d9a7947ad72dfedaf2FEtm9GkRDWZpk0bL5MtQw,8602.195,1.0641004,31.313904
62498cbb9a7947847e7e99c87J1hzyXGS7-bYl9WPzjyvA,42750.047,1.162455,38.759354
628e0b239a7947370b92cb35JVmtlWJZSJyGr-7SaPjkOA,9686.244,1.0595198,37.01757
620e54839a79470c4e9bffdbXOgzv_LeRBumDycSHk_PqQ,12070.909,1.1758838,39.835968
62032ca99a7947ba8ff7bb46VRh5eHorRnCDOM72bsmjBw,7675.173,1.1394496,40.415634
6290d35a9a79473f553ac064Da1haoubTr6pyS-n_zA2XQ,7769.0654,1.0547749,43.092873
6266745f9a79477a8d1d61f3iJsoYDOhRPq3kr9rBI7kag,7570.8184,1.0387043,23.57562
628cddb69a7947587cb5e6eb8zK8SzttRNyHPXmchdLEQw,8939.048,1.0619042,32.98054
628a3a4b9a7947797a7861d0yJPfQ390S_KnHLRvH3W0aQ,8434.377,1.0638578,28.000242
620f8b969a79478363f35eca4RXMO2N-QAeE5fBKU7FXoA,13687.675,1.1329212,37.886116
628c9fb99a794736893682d4A2luokk0SYW6zIOL4V2pDQ,9923.008,1.067281,20.987152
627a60829a79473a3b243dccDgEoGupwRtmvPjSysyiQiQ,13744.89,1.0636662,26.72273
624f59119a7947f73bf11748qVjWQzLEQ5SO2bACPmTYJw,20220.543,1.1453912,27.407381
623dec0e9a79478204d422e8nbmhU7IWQXCm9LJhB815Cw,11937.558,1.1386154,38.85957
62394fa59a7947a3c80d4077fLcyIsP5SA-fcn0QcAQ6vg,32162.02,1.1452196,38.71892
6254df3c9a79470f526af169c5nd5ZVfRXOM6r4vqarcMg,4446.7695,1.0772537,36.947548
61fefd2e9a7947f559062837n0jIUdzJQUuA0xRC69NLAA,8545.282,1.1592741,46.0139
