document_id,views_pred_xgb,depth_pred_xgb,frp_pred_xgb
624ac7ea9a7947df5a051d60pZAY74FCQBqtKdwThKvKGA,48274.805,1.1689026,40.70128
6237d8399a794726a0f418e8T69iLVW6RT26xs1NxtUJhA,20410.979,1.1179574,36.72027
62654eb89a794728d55edb6dRqDJ9oKUTiOooxGi_KgrSQ,7586.9956,1.0398793,14.186459
626cc2639a79473f5409fa4cP7dbl9EGSfKqvpugqdqqNQ,7489.1753,1.0488261,34.442787
6284df199a79476c32c7df98EUhKPzaGQzKtPpCVH8RtOA,11936.521,1.0601015,35.02214
620b7fe39a79476ce826e056E7JHsVPDQWGRJS2xy87jXw,13140.46,1.1648068,39.731064
6205080b9a79476dfdd233d2n7Be7pTWTK-slKNVX7Hnhw,25106.904,1.1202064,39.205727
6238d3de9a79478c1341d27aVutA0piMSeWWi_uvq921UA,34973.25,1.1309644,29.196745
6209ae459a7947446de26572qvXsfpOHRUiGxM3hPiu9eQ,20092.807,1.149408,38.469055
62752e989a79478c0d7c728a311hDNZASmubnNoBiN2JCQ,28171.95,1.0610484,32.923607
628329fc9a79474f5d3ea380I33eC5UkSlOSZa9VonSRkQ,9844.256,1.0646658,31.698742
6205cc249a79472a5b06dc7abXAYTd7mTQaZUEq0sT15kg,11272.225,1.1251527,24.781515
620c6b949a7947c605fd5301ktb-2KBdT_agYLHoMEvyCg,44073.195,1.1608982,32.298725
620cca029a7947efe2571611AvBsPRZtSDeb1rvJn-TnDQ,15525.32,1.1242737,27.644268
620eae949a79473772f922a7YN0ZAEohRqqkJ-cLg1HYdQ,19687.828,1.1284164,25.121847
6253c7299a79479c3e2e34bbfeeX3qvMR1qgog6CJmykKA,5887.21,1.1002461,29.866829
620b81ac9a79476dd198bad8c_sryrWRRrWH5Ggex4EJ4A,32023.928,1.1217887,33.35728
61fb253d9a79473486d776b6n_6U_7IzRi6_b-3fZkhSvg,10930.838,1.1785376,39.3831
620751889a7947b1b2bd0602YavFkErBTqiSAu-bk5btPA,19573.77,1.1692914,39.950623
627626ed9a7947ca8c1ae619NpQ8GXQPRw-CSxWHFMr0dg,11018.704,1.0616133,33.077957
620e30829a79477f0c283c30SoTq5ec2Raq3SK7ZVq8WcQ,43155.316,1.1117759,27.132524
62826bcd9a79472084260181V-Dnqz4FSki7HceBwcwtcg,5284.4204,1.0586362,29.874449
624191ad9a7947e922428429sicjg06gTe6uhyPQj7iv_g,25660.77,1.1560843,36.70391
627573d09a7947a4236e83b5gERrRF7xRZWZ-r7Z6OiseA,2710.459,1.069892,35.81529
6274cc859a79475d31eac744T0PUSt6wTluNNQnvJwjpUA,6643.3257,1.0738832,39.386456
627786e89a7947169dfa224425ykPJneT1S1Uuhl-AY-Jg,9072.016,1.0562692,29.535608
6262d21d9a79471e0de0a96dW8DmtUPrTv6S8ajX41Shfw,10074.577,1.0563947,26.394577
621a39ba9a79472784f029d42X6LtAJxSGaEal90fykDmA,113198.86,1.1081879,23.679281
6248aecc9a79475325ebc4dfcZ5KFPtbQF6EmK9oG7vWMA,45568.82,1.1250422,26.208324
62902fbb9a7947fcc50d5ba0ud1S868qTwe0PPZYaaxrsw,11993.55,1.0417855,28.184679
6253ee759a7947ae3e77e9b4TW2-wwSFQkyxccQwGkcg7g,11662.45,1.0674676,30.21445
6281780e9a7947c43faeec58uuuauJ1KTKmxuWQ3rWRlUg,31567.223,1.043684,30.389908
6276e4a79a7947f30cbca1b70tDEWezoR92G0EZAC8vX1Q,3351.6628,1.05039,33.669205
6252eca39a79476a77630da6jeGCjORuTUqJh-1Y5HFWxw,17168.809,1.0832835,31.978176
620243739a79476b932cff0fst-S3uGzT2ueAGe8UDtTIw,19338.88,1.2569726,61.509
628afdd59a7947a106226dcdXl7bUcMLT2-ClE--b8cKyg,6140.2617,1.0567629,40.86462
6255ece59a794774a1907d3cm1OkPBlDS3qB9diRj0QqyA,7751.8257,1.0714815,44.016953
62752e7b9a79478c24a9cb41Ff0w-uoQQ2-wlA7yMdf1Jg,12128.094,1.0619643,26.767908
624107239a7947b4fb3e7a26XKL7EC9jTPa8DN-abf7Hwg,50361.027,1.1237396,35.89893
61fac5959a79471cae010012dLL_jMZqSFWUwx9Xmytp9g,42775.547,1.1651306,24.571701
6274061b9a79472855ec68adioGTXLNBQc-Pb96yTbjmjQ,6392.603,1.0610522,42.21638
6247c7229a794716fbae5d7acFtxQLayT7S-J2O9qhcGWw,38398.508,1.1312498,36.432827
62387e719a79476b24af0de9O5Ms7LfvTtmOaSw7Cvn57A,39440.953,1.1361772,38.36544
626011ef9a7947253968abd6j96jb6yHTiuoK00p9uVjCw,13604.017,1.0439214,19.158106
622e2ada9a79471d2c4de0b6Qc5leGRRTO2feOAlfm5BwA,8153.7466,1.0750024,51.2918
