document_id,views_pred_xgb,depth_pred_xgb,frp_pred_xgb
62930aa99a794740757a44d8o_uO_3XVRV-Ec9M2UMm_6g,3319.9229,1.0716805,30.671946
626c0b819a79470fdb15c2f4B6DCJzUvS0e0lnlYhQbHqw,5660.7314,1.0472615,27.791882
61f944599a79478bce44450eiAxZx9aYQ1izMflVP6n7eQ,16059.64,1.1595194,38.441902
624e9e5f9a7947a7595105c2oDu_6KCsQbWF-EKyHEV81g,19234.041,1.1495733,49.812183
62383ce19a79474a9d0e5925i9NaRlJxSRqv9AvtFRca6A,31587.758,1.1325773,20.179789
623dcbab9a794774821a7a6eScr3AEy1RQqqvK_2gqOtzQ,73980.63,1.1704627,42.491528
626271169a7947f230f0b476y6HzjgkwTUeJHQDmhmtyQQ,7953.2036,1.0576719,22.883371
6242e53a9a79476361c2f2ec8BgjuxOyQAmyu2jTTSQTLQ,40699.5,1.1276497,34.26994
61fc306d9a79471897d3a414Hgl0EOCaTbuqeQQH0-__4w,11133.345,1.1651422,33.041126
61f8df639a7947522ba14a07hQQywtPYTQeXEKhU8IqvHA,24929.043,1.1572996,36.272686
629194919a79477296a5e1e7piTiz1adSx2Qk1_pgSb7bA,20169.648,1.0451496,33.321934
6274d0d99a79475ff0070a54yxCPtmzdSyWuRENUp0GlYQ,4030.0105,1.0636355,36.43963
626bbdcb9a7947ea6220ecb8A_9HCUy_Qeay1FxwEHgQSA,5831.499,1.0422959,27.077246
61feb1b89a7947e378fc0850Wu15lsLBQgCf6o6DjsnY-Q,16957.31,1.1753316,35.6686
620f2c609a7947542de53a76GryMVHasR-WQ1u2TlcnaAg,13852.293,1.1590102,40.08477
62755c8b9a79479c56e7f60cHVU45asNQ6u0Daoy1biYHw,17706.168,1.0470498,25.912796
624a6e129a7947b64198b736W9ylHdJRQSuXKHxSNI-dRw,24252.531,1.1440816,30.870504
620f54259a79476179532928bYCrV-oRQ2OC0T9LOc-Qqw,15059.283,1.1495934,30.23647
623c3fbd9a794732ec4a4d58aaLJ2mf3QPO9Cajhg92k8w,115611.92,1.128287,38.658016
6253e0609a7947a91068cdc2fj5XzqrLRz2WI1jj7a3VHw,17153.848,1.0774146,31.283823
625145239a79470bc6133539GTwRoWS_QsCBn72nf86mTg,21033.855,1.062579,34.464752
6257f64b9a7947a2677bd5af5TxkuBWuR3iN2c_cc0C5uA,7205.6494,1.0649366,35.83806
628faea09a7947dd41776b15hQehZLPRSg-rIRy6G1SFdw,9025.808,1.057746,30.824732
620e26839a794779f8c0eda8xi2EkBnjQnqxQgTqXNoBew,13845.509,1.1507571,33.341324
62865e4e9a7947f9342f137fueBj8DMfS5iVFyFYiTezVw,20494.934,1.0580257,42.41317
624b0d099a7947fec20bb6a9grBIrkxbQcai-FiM9awLtw,14397.052,1.1511788,41.065952
62818a0c9a7947c8eaedf344uuuauJ1KTKmxuWQ3rWRlUg,11574.398,1.050434,28.109001
6257cb209a79478beefcd62c2X-caUitTcGbm6uAqGgV0w,17582.828,1.0566089,32.0682
620983209a79473d636636cbOfNco70zTxCVq6afpy7Ftw,14404.607,1.2001212,47.98529
6240922f9a79479ad06e1ebaVRpXVaevTFuVxqrJE9PkIw,64378.8,1.124696,39.24044
6268d2509a7947546f93e65ePTdKyLI1Qs2hxch8EMe9ww,17277.281,1.0462279,27.924078
62070c109a7947a082b1a05cq1BZ7xbAQamkFXLTkRETiw,18928.053,1.1460729,35.08082
6237f6839a79472c815eb3f661yEul4ZSc6hc_qijFSUQQ,37385.88,1.1188605,30.541306
623a9c6a9a79471a16904b79L7mrKCx3TuGCbkzlkAl_-g,39857.848,1.1417215,52.737453
623ba50b9a7947016c89837aAhAjWsjYSLeczn40tgTJ8w,87188.94,1.1285963,40.801636
620649de9a7947627dca9087ITZ8vsabSl6StoVie1qgEQ,123685.234,1.1226652,32.250935
625568df9a794741e114a7620S2xp5htSnm4slhNoGfeQA,14642.92,1.0707732,29.923397
6279627e9a794703ce7f0467XQDmGZPkQ_6vMipln6lmXA,12066.704,1.0508971,35.26598
61fd1bdc9a79476c033454ecG8qFGLiOT8qEB3UHMKcPfg,15992.575,1.1677003,39.741898
627b684b9a79477ab21de403VcuZJuUvQEm65Jn-nWEhOA,5290.584,1.073877,35.386906
61fd47819a7947846ae1a44b36Li5FErSlanQQGGukEoOA,13497.812,1.1568104,36.82978
620f522f9a794761ee345d1aDemY5GnfS-WGcF7IpImOUg,14977.821,1.1856714,46.256577
628bb7169a7947f34c515827LgPg0pTERMaHVqoe9NcXrQ,7050.723,1.0610536,34.52997
62385ac29a794759afbb00c3pekvD8dUSh6EU54uL3LUlA,45926.316,1.1313577,26.930254
62802cd29a79477fb5c43bf0hapaHp8PRbOmVNwcHPfJgA,3924.6653,1.0552446,45.01765
6237180d9a79478187a59673xiazmlM3T_aJ3De_p8cflg,15005.947,1.1470153,29.88043
620b96aa9a794779abd2394bpkphc9iZRTuCLt0aZLV3gg,44217.5,1.1430122,34.250553
628cac149a79473dee8e2eeb_ruKEclBQZyobLb10iWIlA,3997.5894,1.0715457,39.590897
6256b17c9a79473453c4f6a3eDitDAg2TEi-MKXm6jBPLA,4809.361,1.0695466,46.004566
61f9b2c39a7947b2f7b75caaVmMbAq6ySy2blmprEQZIhw,12859.045,1.1669083,35.18338
628a57e09a794780f4214160S0Z95HglRwe5n0_JsKX9YQ,7692.6475,1.062573,31.762587
628796f19a7947623299da12A0eQcGa5R1ytvQ3Qk1fdiQ,4642.8027,1.0691524,29.61832
629366cb9a794754f32bd0cazhf5SwBlRXOGCI0HqfOjhg,10063.05,1.0467892,28.529005
6249cfbb9a794795eb89e9b2MK6v4ntiQ-2Duhg-TYNMLA,41261.895,1.1678952,28.490108
6239b4129a7947d3b69fb70evgeGzPItQS6fk23k7R-Ecw,78031.6,1.1157862,39.965317
623a9c509a79471809fdf7cclLHrQhkFQw2MMYgU2X48pA,74806.21,1.1408939,36.306385
6247dace9a79471a6f485d89_b7hVde_QdqunGHazD315Q,14889.334,1.1815331,39.234276
627187d39a7947ca0d8e18e1Rb-kynp6QDKyha6hrZkhdA,4820.2974,1.0569882,42.830833
6290a3819a79472762cbfb7av86RKLu-RD2EfqrEDVH8cA,5364.8955,1.0551971,34.374
624873509a794745ebceff4cPzc2wKFGT9m-9eRyFCNb7A,15031.942,1.1603206,37.588017
6259cdba9a7947574e40d69d8dcAzUtdTsyyGcOuEKTl_w,16455.701,1.0428698,26.653784
62740ba39a794729e2a798e9XwBq6bOJTvyI-HTixfiqug,22584.373,1.0480374,24.817616
6242d3da9a794756f65d794b90eHHNRwTXGD9pc7CXihVA,520803.22,1.1385863,24.896767
61fc86629a79472b78b26b1ba6BxapmVQ4KuP2Y8oWxHmw,16260.166,1.1695268,40.02983
6249eeb09a79479d4b95b1a1wzYUvbQYTyy9L_Vt8OrO3A,46317.68,1.1557472,27.61625
627d38af9a794732268d80c0-YVu9Ix_SRiiLnheWvIcrw,4945.6587,1.057913,40.69982
627bb3c19a7947a0d68c7661uXwzd-wpRUaOWjmWWBxFVg,9266.833,1.0519645,13.436592
627baf1e9a79479f379455aaqJVPDIrRRKml8vmjbV6XOA,4512.696,1.0711248,33.105824
62414ba79a7947c49c900e95oU1qRfldS9-UNI394DCFLA,155623.05,1.1287968,39.64443
625fa1c99a79477207bc61859ExJUI_lR5eGzVQDV4mJSw,4459.913,1.0555682,34.546757
61fb5ccc9a79473d135308d3ts_TsL_8Rvu9tyCx7SO4VA,13649.466,1.1742189,33.648216
6201a4ae9a794737519d13edeoz8kUJ2T2u3IRjKTRxJFg,12378.31,1.1617332,42.216827
623a75259a794710f07a7f47lLHrQhkFQw2MMYgU2X48pA,603050.4,1.1025652,24.94198
61fb39a49a794736239377cbi073QaSLSoCrwpD57PuASQ,14840.842,1.1668447,45.97679
62777eb39a7947154687ba87h1Hb1aDzSWS0kwjpzgBr7g,24257.328,1.0482149,23.132298
62837c259a794775c747cf56fT8mTNdXQ-SF-AHNoDyQ7w,6300.5527,1.0738682,35.159966
624ece559a7947bd7b588aa1L-WkMXbYQECUdNVhPjZyKA,28692.02,1.1444364,36.015728
623e22439a79470834b46b61fT32eoYSTsiM-fMTLOiUJw,56369.91,1.1373534,44.9867
628e0f329a794739a32ad8a8P-u1gPO0RXOiZPKHTf08Pw,22330.643,1.0643277,15.170148
626da99f9a79477bc3f731303kAZLXueRs27IW5yJoeGnA,15080.998,1.0402308,24.279022
626f69779a7947518f6559bb0iGyC39kRK-3r_P7y5bgIA,6143.5283,1.0586926,30.581528
62765e3f9a7947d7e76b27bbsrnBDZN8TYeKV2kRCq0yhA,7245.2256,1.0617114,37.836296
62849c6e9a79474bcea0149eq0pfZFK8Qq6yJ9gEqdFSNA,25936.732,1.0499374,29.863956
620c46019a7947bd8271d59fXpfXpl18TwWTO8lIcrsY1Q,15362.309,1.1679848,37.498188
62457da99a7947c86ff0ad3eMMYtjDdXQ36BjJCbpm3OgA,46693.957,1.1108091,28.254356
6203f76b9a79471453ac726bAuWlhwZGQiefYBWWo0DgOg,15558.299,1.1286399,33.73367
627049c79a794785b95274dbM_vhMVX-RGa128eY0uYS-Q,5620.826,1.0558913,37.545193
624dc80b9a79476db347c03aX3HTrv_bR6KXqxn0P8Yp9g,25811.912,1.1585684,38.50364
624327329a794700650d045che92Lv-nR0mUkK1dLS_vIA,101106.234,1.1193768,29.111761
61fc0fdf9a79470f619c3915b_OkkpZ6SzWn3tNbajfzzA,16333.698,1.1665603,28.706392
625cd96e9a794780af32cf25cWLcSRG0QLaQ4NomspDd_g,25502.531,1.0433266,36.34892
628a79db9a7947887aa17461lCouJGsoRxyb2RetcqtYUg,9242.674,1.0593123,32.115803
6254190d9a7947c7e6399a2f6OLfTBovRHOjhOC1ECLiFg,4134.8184,1.0790739,40.356068
62717bce9a7947c9b86c0a29lIJ6quRISIuvWD_h5mCBcQ,7019.8726,1.0527132,32.380234
627df7e39a7947630452459f42BzG4flT6yFu8wMX0x1RA,12845.142,1.0607451,36.059082
62518a169a79471c2599d6ecTE4LF-kXTYqdjsKnmNmNtA,14403.473,1.053649,26.60319
620a7f219a79471bfe7b824aSnKfUVZcRUyXIMfwqMBLXw,14793.854,1.170066,40.30928
6206e37a9a79479bd64a6f86bQDZZsBHQOyNtYr9eACDdQ,13863.491,1.2931583,58.950325
627034cd9a7947813db8a20f71jG7s-1ReOFjSUlWilhvw,5053.255,1.0605159,29.917051
626b6f079a7947c5bedeae1cRHsvmc9YRVadZrDcLJvNjA,12513.607,1.0455499,30.724411
62381ae19a79473a66885e58h5TXJRoJSIWcnYiE7qIskw,37254.82,1.1346126,39.334206
624050f79a7947890cf56940zJISC8WaTUOKmL777K_uQw,49129.16,1.1378382,33.87317
61ff4a219a79470395194467g8GpvZF1TmWNPTbRaea0ag,17106.584,1.162717,28.22298
62866c789a79470027d609a8mvFw2_qFTWisvFxW-jTTEQ,6805.1216,1.0586563,38.82973
628b7b209a7947d7f35fb589sk7Unly6RqaAgI6vSOK8NA,10538.248,1.0595644,33.637177
