document_id,views_pred_xgb,depth_pred_xgb,frp_pred_xgb
62930aa99a794740757a44d8o_uO_3XVRV-Ec9M2UMm_6g,2479.5278,1.0730474,30.268919
626c0b819a79470fdb15c2f4B6DCJzUvS0e0lnlYhQbHqw,3158.759,1.0466741,24.345669
61f944599a79478bce44450eiAxZx9aYQ1izMflVP6n7eQ,14175.451,1.164048,34.284973
624e9e5f9a7947a7595105c2oDu_6KCsQbWF-EKyHEV81g,19642.982,1.1529478,51.902725
62383ce19a79474a9d0e5925i9NaRlJxSRqv9AvtFRca6A,40149.785,1.1295516,18.32814
623dcbab9a794774821a7a6eScr3AEy1RQqqvK_2gqOtzQ,96806.07,1.190746,39.82753
626271169a7947f230f0b476y6HzjgkwTUeJHQDmhmtyQQ,5079.5894,1.0513886,21.152708
6242e53a9a79476361c2f2ec8BgjuxOyQAmyu2jTTSQTLQ,27304.426,1.1105428,31.341785
61fc306d9a79471897d3a414Hgl0EOCaTbuqeQQH0-__4w,7087.349,1.1609765,30.755377
61f8df639a7947522ba14a07hQQywtPYTQeXEKhU8IqvHA,30455.252,1.1649873,37.792656
629194919a79477296a5e1e7piTiz1adSx2Qk1_pgSb7bA,21683.498,1.0407864,37.121693
6274d0d99a79475ff0070a54yxCPtmzdSyWuRENUp0GlYQ,3225.8127,1.0643765,35.568344
626bbdcb9a7947ea6220ecb8A_9HCUy_Qeay1FxwEHgQSA,775.3612,1.0367833,24.942156
61feb1b89a7947e378fc0850Wu15lsLBQgCf6o6DjsnY-Q,6693.6367,1.1657791,36.65899
620f2c609a7947542de53a76GryMVHasR-WQ1u2TlcnaAg,28258.379,1.150441,39.757607
62755c8b9a79479c56e7f60cHVU45asNQ6u0Daoy1biYHw,22525.008,1.0478929,26.372715
624a6e129a7947b64198b736W9ylHdJRQSuXKHxSNI-dRw,26613.537,1.1287541,29.521084
620f54259a79476179532928bYCrV-oRQ2OC0T9LOc-Qqw,14146.394,1.1395444,27.158873
623c3fbd9a794732ec4a4d58aaLJ2mf3QPO9Cajhg92k8w,112262.26,1.1353534,36.836582
6253e0609a7947a91068cdc2fj5XzqrLRz2WI1jj7a3VHw,26602.553,1.1003458,27.353233
625145239a79470bc6133539GTwRoWS_QsCBn72nf86mTg,23491.91,1.0793339,34.105797
6257f64b9a7947a2677bd5af5TxkuBWuR3iN2c_cc0C5uA,7438.4663,1.0660444,38.448795
628faea09a7947dd41776b15hQehZLPRSg-rIRy6G1SFdw,9046.224,1.0580032,33.52869
620e26839a794779f8c0eda8xi2EkBnjQnqxQgTqXNoBew,13208.787,1.1601796,33.658367
62865e4e9a7947f9342f137fueBj8DMfS5iVFyFYiTezVw,17485.963,1.0615587,43.63966
624b0d099a7947fec20bb6a9grBIrkxbQcai-FiM9awLtw,10748.726,1.153634,44.784386
62818a0c9a7947c8eaedf344uuuauJ1KTKmxuWQ3rWRlUg,11852.418,1.0503398,26.093168
6257cb209a79478beefcd62c2X-caUitTcGbm6uAqGgV0w,22768.34,1.0638573,32.265568
620983209a79473d636636cbOfNco70zTxCVq6afpy7Ftw,10385.974,1.2126034,49.40032
6240922f9a79479ad06e1ebaVRpXVaevTFuVxqrJE9PkIw,51639.805,1.1242247,39.94331
6268d2509a7947546f93e65ePTdKyLI1Qs2hxch8EMe9ww,30775.902,1.040544,27.076273
62070c109a7947a082b1a05cq1BZ7xbAQamkFXLTkRETiw,16083.769,1.1416216,35.383526
6237f6839a79472c815eb3f661yEul4ZSc6hc_qijFSUQQ,24081.748,1.1220102,29.071623
623a9c6a9a79471a16904b79L7mrKCx3TuGCbkzlkAl_-g,36854.2,1.1496649,52.421185
623ba50b9a7947016c89837aAhAjWsjYSLeczn40tgTJ8w,90047.98,1.1342524,40.5162
620649de9a7947627dca9087ITZ8vsabSl6StoVie1qgEQ,175997.67,1.1023802,30.414534
625568df9a794741e114a7620S2xp5htSnm4slhNoGfeQA,23084.645,1.0754448,31.812365
6279627e9a794703ce7f0467XQDmGZPkQ_6vMipln6lmXA,8413.463,1.0585976,35.325092
61fd1bdc9a79476c033454ecG8qFGLiOT8qEB3UHMKcPfg,23258.783,1.1593921,36.669533
627b684b9a79477ab21de403VcuZJuUvQEm65Jn-nWEhOA,6373.79,1.072732,35.116554
61fd47819a7947846ae1a44b36Li5FErSlanQQGGukEoOA,9160.711,1.160786,35.582756
620f522f9a794761ee345d1aDemY5GnfS-WGcF7IpImOUg,12965.292,1.2106309,49.97237
628bb7169a7947f34c515827LgPg0pTERMaHVqoe9NcXrQ,10945.877,1.0652946,33.63109
62385ac29a794759afbb00c3pekvD8dUSh6EU54uL3LUlA,45216.16,1.1387653,24.997849
62802cd29a79477fb5c43bf0hapaHp8PRbOmVNwcHPfJgA,3144.836,1.0514134,44.689316
6237180d9a79478187a59673xiazmlM3T_aJ3De_p8cflg,9934.625,1.1320367,27.352924
