nl=  4, lr=0.050000, md=  4, mdlf=  8, 2542, 84666.4288401976
nl=  4, lr=0.050000, md=  8, mdlf=  8, 2542, 84666.4288401976
nl=  4, lr=0.050000, md= 16, mdlf=  8, 2542, 84666.4288401976
nl=  4, lr=0.050000, md= 32, mdlf=  8, 2542, 84666.4288401976
nl=  4, lr=0.010000, md=  4, mdlf=  8, 9981, 84873.43188986453
nl=  4, lr=0.010000, md=  8, mdlf=  8, 9981, 84873.43188986453
nl=  4, lr=0.010000, md= 16, mdlf=  8, 9981, 84873.43188986453
nl=  4, lr=0.010000, md= 32, mdlf=  8, 9981, 84873.43188986453
nl=  8, lr=0.100000, md=  4, mdlf=  8, 949, 82858.70385560123
nl=  8, lr=0.100000, md=  8, mdlf=  8, 504, 83862.50002412668
nl=  8, lr=0.100000, md= 16, mdlf=  8, 504, 83862.50002412668
nl=  8, lr=0.100000, md= 32, mdlf=  8, 504, 83862.50002412668
nl=  8, lr=0.050000, md=  4, mdlf=  8, 1134, 83433.04299393775
nl=  8, lr=0.050000, md=  8, mdlf=  8, 1230, 82339.91989323101
nl=  8, lr=0.050000, md= 16, mdlf=  8, 1230, 82339.91989323101
nl=  8, lr=0.050000, md= 32, mdlf=  8, 1230, 82339.91989323101
nl=  8, lr=0.010000, md=  4, mdlf=  8, 5427, 82668.93857334461
nl=  8, lr=0.010000, md=  8, mdlf=  8, 5424, 81846.69827150767
nl=  8, lr=0.010000, md= 16, mdlf=  8, 5424, 81846.69827150767
nl=  8, lr=0.010000, md= 32, mdlf=  8, 5424, 81846.69827150767
nl= 16, lr=0.050000, md=  4, mdlf=  8, 1167, 83286.24522855697
nl= 32, lr=0.100000, md=  4, mdlf=  8, 749, 84107.01670333245
nl= 32, lr=0.050000, md=  4, mdlf=  8, 1167, 83286.24522855697
